Denominazione,Sensori,Coordinate
H2 - Brugnera,"Tensione Batteria, Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, , Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","12° 32' 44.88'' E, 45° 55' 08.04'' N"
PCIV - S.Cassiano,Idrometro,"12° 32' 07.01'' E, 45° 52' 37.02'' N"
H4 - Brugnera,"Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","12° 32' 44.88'' E, 45° 55' 08.04'' N"
