Denominazione,Indirizzo,Coordinate
001 - Area verde via A. Volta,Brugnera - via A. Volta,"12° 32' 11.33'' E, 45° 54' 16.31'' N"
002 - Area verde scuola media,Brugnera - Via G. Galilei,"12° 31' 51.82'' E, 45° 54' 11.39'' N"
004 - Area mercato Maron,Maron di Brugnera - via IV Novembre,"12° 33' 22.87'' E, 45° 53' 48.83'' N"
007 - Area esterna cimitero di San Cassiano,San Cassiano di Brugnera - via Rovere,"12° 32' 32.50'' E, 45° 52' 31.74'' N"
009 - Via Marconi,Brugnera - Via Marconi,"12° 31' 49.35'' E, 45° 54' 22.46'' N"
012 - Parcherggio campo sportivo Maron,Maron - via San Michele,"12° 32' 45.43'' E, 45° 53' 41.10'' N"
013 - Area verde Via Giovanni XXIII,Tamai - Via Giovanni XXIII,"12° 34' 07.22'' E, 45° 55' 20.15'' N"
014 - Parcheggio  Municipio,Brugnera - Via Giolitti,"12° 32' 09.09'' E, 45° 53' 55.74'' N"
015 - Parcheggio scuola elementare Tamai,Tamai di Brugnera - via A. de Gasperi,"12° 34' 09.41'' E, 45° 55' 29.34'' N"
016 - Parcheggio via A. Moro,Tamai di Brugnera - via A. Moro,"12° 34' 17.76'' E, 45° 55' 32.23'' N"
017 - Parcheggio supermercato via Taglio,Maron - Via Taglio,"12° 33' 22.72'' E, 45° 54' 08.28'' N"
018 - Parcheggio ristorante Tinello,Brugnera - via Ungaresca,"12° 32' 26.56'' E, 45° 54' 28.67'' N"
019 - Parcheggio bar via N. Sauro,Brugnera - via N. Sauro,"12° 32' 00.89'' E, 45° 54' 39.22'' N"
