Denominazione,Indirizzo,Coordinate
001 - Area parcheggio Sud cimitero capoluogo,Tricesimo capoluogo - via dei Caduti,"13° 12' 40.03'' E, 46° 09' 55.37'' N"
002 - Area parcheggio distretto AAS,Adorgnano - via dei Carpini,"13° 13' 26.74'' E, 46° 09' 30.56'' N"
003 - Area parcheggio Piazzale S. Giovanni Bosco,Adorgnano - Piazzale S. Giovanni Bosco,"13° 13' 04.71'' E, 46° 09' 35.58'' N"
004 - Area parcheggio Villa Veroi di Fraelacco,Fraelacco - Via S. Vito e Modesto n. 1,"13° 13' 08.53'' E, 46° 10' 53.01'' N"
"005 - Area esterna Istituto non vedenti ""Villa Masieri""",Luseriacco - Via Luseriacco 8,"13° 12' 18.03'' E, 46° 09' 01.98'' N"
006 - Area esterna centro civico di Adorgnano,Adorgnano di Tricesimo - Piazza di Adorgnano,"13° 13' 24.97'' E, 46° 09' 39.57'' N"
"007 - Area esterna Scuola dell'infanzia paritaria ""Beata Elena Valentinis""","capoluogo - via Belvedere, 9","13° 12' 26.68'' E, 46° 09' 27.17'' N"
"008 - Area esterna Bar ""Mattighello""",Fraelacco - via Dante Alighieri,"13° 13' 12.30'' E, 46° 10' 52.72'' N"
"009 - Area esterna centro civico ""F. Sgarban""",Ara Grande - via San Bartolomeo,"13° 10' 41.61'' E, 46° 09' 33.09'' N"
"010 - Area parco ""Luigi Tami""",capoluogo - piazza Libertà,"13° 12' 57.35'' E, 46° 09' 37.86'' N"
"011 - Area parco ""Falcone e Borsellino""",capoluogo - via Mons. Pittini,"13° 12' 46.30'' E, 46° 09' 30.05'' N"
012 - Area giochi Leonacco Basso,Leonacco  - via San Martino,"13° 12' 00.03'' E, 46° 08' 17.86'' N"
013 - Area via Caravaggio,Villaggio Morena - via Caravaggio,"13° 12' 59.90'' E, 46° 08' 22.11'' N"
"014 - Area aperta fronte Trattoria ""All'Alpino""",Ara Piccola - via Ippolito Nievo,"13° 11' 30.58'' E, 46° 09' 30.95'' N"
015 - Area ex scuola di Leonacco,Leonacco - angolo via Patussi e via Timau,"13° 12' 09.40'' E, 46° 08' 37.57'' N"
016 - Area giochi Felettano,Felettano - angolo via Risorgimento e via della Natività,"13° 11' 47.00'' E, 46° 08' 51.06'' N"
017 - Area fianchegginate l'ex stazione FS,Braidamatta - via della Ferrovia,"13° 12' 56.63'' E, 46° 10' 28.03'' N"
