Denominazione,Indirizzo,Coordinate
001 - Questura di Gorizia- sede - URP e ufficio Licenze e Porto d'Armi,Gorizia - Piazza Cavour n.8 - 34170 Gorizia,"13° 37' 29.95'' E, 45° 56' 32.21'' N"
002 - Sezione Polizia Stradale Gorizia,Gorizia - Via Pola n.7 - 34170 Gorizia,"13° 36' 11.52'' E, 45° 55' 42.54'' N"
003 - Posto Polizia Ferroviaria Gorizia,Gorizia - Piazzale Martiri della Liberta - 34170 Gorizia,"13° 36' 26.28'' E, 45° 55' 58.08'' N"
004 - Compartimento Polizia Postale e delle Comunicazioni Friuli Venezia Giulia - Sezione Gorizia,Gorizia - Corso Verdi n.33 - 34170 Gorizia,"13° 37' 23.28'' E, 45° 56' 45.49'' N"
"005 - Questura Gorizia Ufficio Denunce- Ufficio Concorsi  (c/o Caserma della P. di S. ""F. Massarelli"")",Gorizia - Via della Casa Rossa n.1 - 34170 GORIZIA (GO),"13° 38' 04.05'' E, 45° 56' 31.52'' N"
006 - Questura di Gorizia - Ufficio Passaporti,"Gorizia - Corte Sant'Ilario,1","13° 37' 29.46'' E, 45° 56' 31.94'' N"
007 - Questura di Gorizia - Polizia di Frontiera e Ufficio Immigrazione,"Gorizia - Piazza della Casa Rossa, 2 - 34170 Gorizia (GO)","13° 38' 06.53'' E, 45° 56' 29.91'' N"
