Denominazione,Indirizzo,Coordinate
001 - SCUOLA STATALE DELL'INFANZIA DI VIA GARZAROLLI,Gorizia - Via Garzarolli 175,"13° 36' 59.82'' E, 45° 55' 38.20'' N"
002 - SCUOLA DELL'INFANZIA R. AGAZZI,Gorizia - Via Palladio 6,"13° 37' 40.94'' E, 45° 57' 13.60'' N"
003 - SCUOLA DELL'INFANZIA DI S. ROCCO,Gorizia - Via Lasciac 13,"13° 37' 29.58'' E, 45° 56' 12.35'' N"
004 - SCUOLA DELL'INFANZIA G. BOEMO,Lucinico - Via Perco 1,"13° 34' 15.88'' E, 45° 56' 08.86'' N"
005 - SCUOLA DELL'INFANZIA DI SANT'ANDREA,Gorizia - Via San Michele 151,"13° 36' 13.38'' E, 45° 55' 24.50'' N"
006 - SCUOLA DELL'INFANZIA DI PIUMA - lingua ins. slovena,Piuma - Via Bella Veduta 23/A,"13° 36' 52.91'' E, 45° 57' 43.15'' N"
007 - SCUOLA DELL'INFANZIA DI VIA DEL BROLO - lingua ins. slovena,Gorizia - via del Brolo 37,"13° 37' 26.52'' E, 45° 57' 08.44'' N"
008 - SCUOLA PRIMARIA E. FRINTA,Gorizia - Via Codelli 16,"13° 37' 04.33'' E, 45° 56' 24.00'' N"
009 - SCUOLA PRIMARIA GIUSEPPE UNGARETTI,Gorizia - Via Cipriani 69,"13° 37' 03.22'' E, 45° 55' 51.14'' N"
010 - SCUOLA PRIMARIA FRANCESCO RISMONDO,Gorizia - Via Svevo 5,"13° 37' 40.91'' E, 45° 56' 19.97'' N"
011 - SCUOLA PRIMARIA V. FUMAGALLI,Gorizia - Via della Cappella 7,"13° 37' 49.30'' E, 45° 56' 56.31'' N"
012 - SCUOLA PRIMARIA GIOVANNI FERRETTI,Gorizia - Via Zara 17,"13° 36' 06.24'' E, 45° 55' 45.58'' N"
014 - SCUOLA PRIMARIA GENERALE ABELARDO PECORINI,Straccis - Via Colonia 12,"13° 36' 36.58'' E, 45° 56' 59.04'' N"
015 - SCUOLA PRIMARIA OTON ZUPANCIC - LINGUA INS.SLOVENA,Gorizia - Via del Brolo 21,"13° 37' 24.45'' E, 45° 57' 07.57'' N"
016 - SCUOLA PRIMARIA FRAN ERJAVEC - LINGUA INS.SLOVENA,Sant'Andrea - Via San Michele 159,"13° 36' 10.74'' E, 45° 55' 23.64'' N"
017 - SCUOLA PRIMARIA JOSIP ABRAM - LINGUA INS.SLOVENA,Piuma - Frazione Piuma 1,"13° 36' 56.85'' E, 45° 57' 56.26'' N"
018 - SCUOLA SECONDARIA DI 1° GRADO GRAZIADIO ISAIA ASCOLI,Gorizia - Via Mascagni 9,"13° 37' 09.41'' E, 45° 56' 15.04'' N"
019 - SCUOLA SECONDARIA DI 1° GRADO IVAN TRINKO - LINGUA INS.SLOVENA,Gorizia - Via Leopardi 3,"13° 37' 37.22'' E, 45° 56' 04.59'' N"
021 - SCUOLA SECONDARIA DI 2° GRADO DANTE ALIGHIERI,Gorizia - Viale 20 settembre 11,"13° 37' 08.21'' E, 45° 56' 53.76'' N"
022 - SCUOLA SECONDARIA DI 2° GRADO SCIPIO SLATAPER,Gorizia - Via Diaz 20,"13° 37' 06.26'' E, 45° 56' 38.28'' N"
023 - SCUOLA SECONDARIA DI 2° GRADO DUCA DEGLI ABRUZZI,Gorizia - Piazza Julia 5,"13° 37' 04.20'' E, 45° 56' 21.42'' N"
024 - SCUOLA SECONDARIA DI 2° GRADO LEONARDO DA VINCI,Gorizia - Viale Virgilio 2,"13° 37' 00.70'' E, 45° 56' 49.30'' N"
025 - SCUOLA SECONDARIA DI 2° GRADO MAX FABIANI,Gorizia - P.zza Medaglie d'Oro 2,"13° 37' 39.47'' E, 45° 57' 03.26'' N"
027 - SCUOLA SECONDARIA DI 2° GRADO GALILEO GALILEI,Gorizia - Via Puccini 22,"13° 37' 05.59'' E, 45° 56' 08.11'' N"
028 - SCUOLA SECONDARIA DI 2° GRADO NICOLO' PACASSI,Gorizia - Via Puccini 22,"13° 37' 07.95'' E, 45° 56' 06.61'' N"
029 - SCUOLA DELL'INFANZIA MAX FABIANI - lingua ins. slovena - controllare localizzazione,Gorizia - Via Max Fabiani 6,"13° 37' 16.94'' E, 45° 55' 45.73'' N"
030 - SCUOLA DELL'INFANZIA DI VIA FORTE DEL BOSCO,Gorizia - Via Forte del Bosco,"13° 36' 34.24'' E, 45° 57' 26.19'' N"
031 - SCUOLA SECONDARIA DI 2° GRADO SIMON GREGORCIC - lingua ins. slovena,Gorizia - Via Puccini 14,"13° 37' 02.48'' E, 45° 56' 11.26'' N"
032 - SCUOLA SECONDARIA DI 1° GRADO LEOPOLDO PERCO,Lucinico - Via Romana 32,"13° 34' 25.78'' E, 45° 56' 17.44'' N"
033 - SCUOLA DELL'INFANZIA BRIGATA AVELLINO,Gorizia - Via Brigata Avellino 2,"13° 35' 19.16'' E, 45° 56' 08.26'' N"
034 - SCUOLA DELL'INFANZIA PARITARIA COMUNALE  LIVIO CLEMENTE,Gorizia - Corte Sant'Ilario 10,"13° 37' 24.59'' E, 45° 56' 30.11'' N"
035 - SCUOLA DELL'INFANZIA PARITARIA COMUNALE IL BOSCO INCANTATO,Gorizia - Via Romagna 13,"13° 36' 17.80'' E, 45° 56' 13.53'' N"
036 - SCUOLA PRIMARIA E. FRINTA,Gorizia - Via Codelli 16,"13° 37' 03.14'' E, 45° 56' 24.68'' N"
038 - SCUOLA PRIMARIA GENERALE ABELARDO PECORINI,Gorizia - Via Colonia 12,"13° 36' 37.22'' E, 45° 57' 01.04'' N"
039 - SCUOLA SECONDARIA DI 1° GRADO VITTORIO LOCCHI,Gorizia - Largo Culiat 2,"13° 37' 01.92'' E, 45° 56' 38.11'' N"
040 - SCUOLA SECONDARIA DI 2° GRADO MAX FABIANI,Gorizia - Piazza Medaglie d'oro 2,"13° 37' 35.69'' E, 45° 57' 03.72'' N"
041 - SCUOLA SECONDARIA DI 2° GRADO GABRIELE D'ANNUNZIO,Gorizia - Via I. Brass 22,"13° 37' 25.90'' E, 45° 56' 54.70'' N"
042 - SCUOLA SECONDARIA DI 2° GRADO GABRIELE D'ANNUNZIO,Gorizia - Via I. Brass 22,"13° 37' 28.51'' E, 45° 56' 55.92'' N"
043 - SCUOLA SECONDARIA DI 2° GRADO RANIERI MARIO COSSAR,Gorizia - Viale Virgilio 2,"13° 36' 59.29'' E, 45° 56' 51.00'' N"
045 - SCUOLA SECONDARIA DI 2° GRADO IVAN CANKAR - LINGUA INS.SLOVENA,Gorizia - Via Puccini 14,"13° 37' 02.27'' E, 45° 56' 10.34'' N"
046 - SCUOLA SECONDARIA DI 2° GRADO JURIJ VEGA - LINGUA INS.SLOVENA,Gorizia - Via Puccini 14,"13° 37' 03.01'' E, 45° 56' 10.54'' N"
048 - SCUOLA SECONDARIA DI 2° GRADO PRIMOZ TRUBAR - LINGUA INS.SLOVENA,Gorizia - Via Puccini 14,"13° 37' 03.83'' E, 45° 56' 10.16'' N"
049 - SCUOLA SECONDARIA DI 2° GRADO ZIGA ZOIS - LINGUA INS.SLOVENA,Gorizia - Via Puccini 14,"13° 37' 01.16'' E, 45° 56' 09.72'' N"
"050 - Nido d'infanzia ""Incantatempo""",Gorizia - Viale Virgilio nr. 20 - 34170 Gorizia GO,"13° 36' 46.59'' E, 45° 56' 45.81'' N"
051 - SCUOLA SECONDARIA DI 2° GRADO ENRICO FERMI,Gorizia - Via Puccini 22,"13° 37' 06.77'' E, 45° 56' 07.42'' N"
052 - SCUOLA SECONDARIA DI 2° GRADO PARITARIA PAOLINO D'AQUILEIA,Gorizia - Via del Seminario 7,"13° 37' 28.13'' E, 45° 56' 51.00'' N"
053 - SCUOLA PRIMARIA PARITARIA MONASTERO SANT'ORSOLA,Gorizia - Via Palladio 6,"13° 37' 39.80'' E, 45° 57' 14.07'' N"
054 - SCUOLA DELL'INFANZIA PARITARIA IL PETTIROSSO,Gorizia - Via Brigata Avellino 2,"13° 35' 18.48'' E, 45° 56' 08.10'' N"
055 - SCUOLA DELL'INFANZIA PARITARIA ANCELLE DI GESU' BAMBINO,Gorizia - Piazza Divisione Julia 1,"13° 37' 02.44'' E, 45° 56' 22.21'' N"
