Denominazione,Sensori,Coordinate
PCIV - Gorizia T.Corno,Idrometro,"13° 38' 02.00'' E, 45° 57' 10.01'' N"
PCIV - Gorizia Idro,Idrometro,"13° 36' 52.99'' E, 45° 57' 20.99'' N"
PCIV - Gorizia Aereoporto,"Umidità, Pressione, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","13° 35' 44.02'' E, 45° 54' 37.01'' N"
