Denominazione,Sensori,Coordinate
PCIV - S.Francesco T.P.,"Temperatura, Pioggia","12° 56' 12.01'' E, 46° 18' 47.02'' N"
PCIV - S.Francesco Idro,Idrometro,"12° 56' 03.01'' E, 46° 19' 00.01'' N"
