Denominazione,Sensori,Coordinate
PCIV - Cellina Prescudin,Idrometro,"12° 30' 56.02'' E, 46° 12' 10.01'' N"
H4 - Barcis,"Umidità, Temperatura, Pioggia, Radiazione solare","12° 34' 11.28'' E, 46° 11' 22.56'' N"
PCIV - Varma,Idrometro,"12° 32' 33.00'' E, 46° 11' 39.98'' N"
PCIV - Prescudin,"Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Vento raffica (direzione), Vento raffica (intensità)","12° 29' 10.00'' E, 46° 11' 29.00'' N"
PCIV - Caltea,Idrometro,"12° 32' 22.99'' E, 46° 09' 09.00'' N"
PCIV - Barcis Invaso,Idrometro,"12° 34' 31.01'' E, 46° 11' 17.02'' N"
PCIV - Pentina,Idrometro,"12° 32' 16.01'' E, 46° 11' 15.00'' N"
PCIV - Barcis,"Umidità, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","12° 33' 49.00'' E, 46° 11' 34.01'' N"
