Denominazione,Sensori,Coordinate
PCIV - Selvis,Idrometro,"13° 20' 02.00'' E, 46° 04' 09.98'' N"
PCIV - Cerneglons,Pioggia,"13° 19' 04.01'' E, 46° 03' 20.02'' N"
