Denominazione,Sensori,Coordinate
PCIV - Maniago,"Idrometro, Pioggia","12° 43' 07.00'' E, 46° 10' 26.00'' N"
PCIV - Pala Barzana,"Umidità, Altezza della neve, Temperatura, Pioggia","12° 39' 33.01'' E, 46° 11' 46.00'' N"
PCIV - Cellina Vajont,Idrometro,"12° 40' 54.01'' E, 46° 08' 53.02'' N"
