,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        11312
      ","
        126
      ","
        380
      ","
        11818
      "
"
        Numero di famiglie
      ","
        4704
      ","
        48
      ","
        140
      ","
        4892
      "
"
        Numero di abitazioni
      ","
        5482
      ","
        53
      ","
        157
      ","
        5692
      "
"
        Numero di edifici
      ","
        3011
      ","
        114
      ","
        124
      ","
        3249
      "
"
        Numero di edifici residenziali
      ","
        2670
      ","
        35
      ","
        109
      ","
        2814
      "
