Denominazione,Indirizzo,Coordinate
001 - Myrtus S.r.l.,"Zona Industriale NIP - Via Monfalcone, 5","12° 43' 49.24'' E, 46° 09' 07.57'' N"
002 - Recycla S.r.l.,"Via Ponte Giulio, 62","12° 43' 43.49'' E, 46° 08' 50.16'' N"
003 - Az. Agr. Lenardon Santa,"Via Ponte Giulio, 17","12° 43' 52.01'' E, 46° 08' 35.53'' N"
004 - Az. Agr. Marson Caterina,"Via di Vivaro, 50","12° 42' 15.95'' E, 46° 08' 29.31'' N"
005 - Societa' Agricola Santa Caterina di Zolin Paolo e Zolin Matteo s.s.,"Località Dandolo, Via Parenzo Ovest, 13","12° 44' 45.47'' E, 46° 05' 32.53'' N"
006 - Fonderie Pandolfo S.r.l.,Via Ponte Giulio 45,"12° 43' 09.81'' E, 46° 08' 48.18'' N"
007 - Friul Julia Appalti S.r.l.,Località Cossana,"12° 42' 56.30'' E, 46° 06' 50.27'' N"
008 - Z.M.L. Industries S.p.A.,"Via dell'Industria, 10","12° 43' 31.04'' E, 46° 09' 01.87'' N"
009 - Z.M.L. Industries S.p.A. (rame),"Via dell'Industria, 10","12° 43' 30.23'' E, 46° 09' 00.48'' N"
010 - Bioman,Cossana - Via Vivarina,"12° 43' 09.04'' E, 46° 07' 24.89'' N"
011 - Kollant S.r.l.,Zona Industriale - Via Ponte Giulio 72,"12° 43' 17.47'' E, 46° 09' 00.06'' N"
