Denominazione,Sensori,Coordinate
H4 - Gorizia,"Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 28' 59.16'' E, 45° 53' 26.88'' N"
PCIV - Gradisca,Idrometro,"13° 30' 16.99'' E, 45° 53' 08.99'' N"
