Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI TAVAGNACCO,Tavagnacco - via dell'Asilo,"13° 12' 41.58'' E, 46° 07' 44.21'' N"
002 - SCUOLA DELL'INFANZIA di TAVAGNACCO/ADEGLIACCO,Cavalicco - Via San Bernardo,"13° 14' 17.78'' E, 46° 06' 42.65'' N"
003 - SCUOLA DELL'INFANZIA DI TAVAGNACCO/COLUGNA,Colugna - Via Battisti,"13° 11' 58.15'' E, 46° 05' 32.52'' N"
004 - SCUOLA DELL'INFANZIA DI TAVAGNACCO/FELETTO UMB.,Tavagnacco - Via Manlio Feruglio,"13° 12' 43.29'' E, 46° 06' 04.92'' N"
005 - SCUOLA PRIMARIA DI VIA MAZZINI/FELETTO UMBERTO,Tavagnacco - Via Mazzini 3,"13° 12' 47.13'' E, 46° 06' 03.31'' N"
006 - SCUOLA PRIMARIA DI TAVAGNACCO,Tavagnacco - via dell'Asilo,"13° 12' 41.60'' E, 46° 07' 47.13'' N"
007 - SCUOLA PRIMARIA FRAZ. ADEGLIACCO,Cavalicco - Via Centrale,"13° 14' 07.13'' E, 46° 06' 41.44'' N"
008 - SCUOLA PRIMARIA FRAZ. COLUGNA,Colugna - Via Battisti,"13° 11' 59.74'' E, 46° 05' 31.57'' N"
009 - SCUOLA SECONDARIA DI 1° GRADO E. FERUGLIO - TAVAGNACCO,Tavagnacco - Via Mazzini 1,"13° 12' 49.79'' E, 46° 06' 02.87'' N"
010 - SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA,Feletto Umberto - Piazza Unità d'Italia 17,"13° 12' 44.66'' E, 46° 06' 07.15'' N"
011 - NIDO D'INFANZIA MA'-PA' MONDO,Adegliacco - Via Centrale 69,"13° 14' 06.90'' E, 46° 06' 45.79'' N"
012 - ASILO NIDO BRUCONIDO,Colugna - Via Battisti,"13° 11' 57.34'' E, 46° 05' 34.37'' N"
013 - ASILO NIDO HYPONIDO,Feletto Umberto - Via Alpe Adria,"13° 12' 52.09'' E, 46° 06' 40.20'' N"
