Denominazione,Indirizzo,Coordinate
001 - Area antistante la Sede della Protezione Civile,"Cordovado - Della CIrconvallazione, 9/d","12° 53' 19.81'' E, 45° 50' 55.93'' N"
002 - Area verde punta ex Ambrosio,CORDOVADO - incrocio via Circonvallazione/via S. Caterina,"12° 53' 04.56'' E, 45° 50' 57.06'' N"
003 - parcheggio Duomo Nuovo,CORDOVADO - via A. Carneo,"12° 53' 00.38'' E, 45° 50' 38.03'' N"
004 - Cippo Alpini,CORDOVADO - via Btg. Gemona,"12° 52' 46.59'' E, 45° 50' 40.79'' N"
005 - via Teglio,CORDOVADO - via Teglio,"12° 52' 57.91'' E, 45° 50' 14.32'' N"
007 - parcheggio area sportiva via Freschi,CORDOVADO - via A. Freschi,"12° 53' 07.59'' E, 45° 50' 44.26'' N"
008 - parcheggio via del Pino,CORDOVADO - via del Pino,"12° 53' 12.18'' E, 45° 51' 16.22'' N"
009 - parcheggio Duomo Antico,CORDOVADO - via Duomo,"12° 52' 52.83'' E, 45° 50' 30.13'' N"
010 - Località Suzzolins,Cordovado - via Suzzolins,"12° 53' 06.61'' E, 45° 49' 31.85'' N"
011 - Parcheggio Lena, - via Gino Bozza,"12° 53' 16.56'' E, 45° 50' 34.91'' N"
012 - Parcheggio via Bozza/Marzin,Cordovado - Via Gino Bozza/via Vincenzo Marzin,"12° 53' 17.48'' E, 45° 50' 40.99'' N"
013 - via Belvedere,Cordovado - via Belvedere,"12° 53' 31.25'' E, 45° 50' 33.91'' N"
