Denominazione,Sensori,Coordinate
PCIV - Terme di Arta,Idrometro,"13° 01' 05.99'' E, 46° 28' 37.99'' N"
PCIV - Ponte Lovea,Idrometro,"13° 04' 27.98'' E, 46° 28' 23.99'' N"
