Denominazione,Indirizzo,Coordinate
002 - Piazzale parcheggio attiguo alla pesa pubblica,Savogna - via Kennedy,"13° 31' 53.61'' E, 46° 09' 27.80'' N"
003 - Area di attesa località Stefenigh,Savogna - località Stefenigh,"13° 32' 16.21'' E, 46° 09' 45.98'' N"
004 - Area di attesa località Ieronizza,Savogna - Ieronizza,"13° 32' 15.49'' E, 46° 10' 36.01'' N"
005 - Area di attesa di Iellina,Savogna - località Iellina,"13° 33' 01.31'' E, 46° 10' 45.05'' N"
006 - Area di attesa di Dus,Savogna - località Dus,"13° 32' 39.68'' E, 46° 10' 48.13'' N"
007 - Area di attesa di Masseris,Savogna - località Masseris,"13° 33' 07.19'' E, 46° 10' 58.29'' N"
008 - Area attesa località Losaz,Savogna - località Losaz,"13° 32' 44.23'' E, 46° 11' 30.44'' N"
009 - Area attesa località Montemaggiore,Savogna - località Montemaggiore,"13° 31' 50.39'' E, 46° 11' 41.87'' N"
010 - Area attesa località Barza,Savogna - località Barza,"13° 31' 33.35'' E, 46° 11' 27.95'' N"
011 - Area attesa località Stermizza,Savogna - località Stermizza,"13° 31' 58.91'' E, 46° 11' 10.94'' N"
012 - Area attesa località Pechinie di sopra,Savogna - Pechinie di sopra,"13° 31' 31.14'' E, 46° 10' 47.40'' N"
013 - Area attesa Pechinie di sotto,Savogna - località Pechinie di sotto,"13° 31' 39.25'' E, 46° 10' 51.02'' N"
014 - Area di attesa di Tercimonte,Savogna - località Tercimonte,"13° 32' 58.32'' E, 46° 10' 23.70'' N"
015 - Area di attesa località Cepletischis e Polava,Savogna - località Cepletischis,"13° 34' 17.45'' E, 46° 10' 42.01'' N"
016 - Area attesa località Gabrovizza,Savogna - Gabrovizza,"13° 33' 52.12'' E, 46° 10' 30.06'' N"
