Denominazione,Indirizzo,Coordinate
001 - DEPURATORE LOC. PARTZ DA RIU,CAVAZZO CARNICO - VIA PIETRO ZORUTTI,"13° 02' 50.00'' E, 46° 21' 53.34'' N"
003 - DEPURATORE CESCLANS,CESCLANS - LOC. SOCORT,"13° 03' 39.97'' E, 46° 20' 59.17'' N"
004 - VASCA POMPAGGIO ACQUEDOTTO CESCLANS,CESCLANS - VIA DELLA FONTANA,"13° 03' 14.58'' E, 46° 21' 08.79'' N"
005 - VASCA ACQUEDOTTO CESCLANS-MENA,CESCLANS - LOC. TASCONS,"13° 03' 14.65'' E, 46° 21' 05.70'' N"
006 - DEPURATORE LOC. GROVIZ,CESCLANS - LOC. GROVIZ,"13° 03' 00.29'' E, 46° 21' 04.20'' N"
007 - OPERA DI PRESA CRETIS UNO,CESCLANS - LOC. RIO VAAT,"13° 03' 02.18'' E, 46° 20' 47.17'' N"
008 - VASCA ACQUEDOTTO MENA,CESCLANS - LOC. SOMPUINT,"13° 03' 35.28'' E, 46° 21' 08.19'' N"
009 - DEPURATORE MENA,MENA - MENA,"13° 04' 03.27'' E, 46° 21' 07.46'' N"
010 - DEPURATORE SOMPLAGO,SOMPLAGO - SOMPLAGO,"13° 04' 07.83'' E, 46° 20' 41.95'' N"
011 - DEPURATORE LOC. ENEL,SOMPLAGO - VIA A. VOLTA,"13° 04' 05.57'' E, 46° 20' 33.06'' N"
012 - VASCA ACQUEDOTTO SOMPLAGO,SOMPLAGO - STRADA GROVIZ,"13° 03' 41.59'' E, 46° 20' 45.77'' N"
013 - DEPURATORE POSCOLLE,CAVAZZO CARNICO - VIA LONGERA,"13° 02' 37.60'' E, 46° 21' 54.79'' N"
014 - VASCA ACQUEDOTTO CAVAZZO CARNICO,CAVAZZO CARNICO - STRADA DELLA FORNACE,"13° 01' 37.36'' E, 46° 21' 44.73'' N"
015 - OPERA DI PRESA VAL 2,CAVAZZO CARNICO - LOCALITA' VAL,"13° 01' 13.69'' E, 46° 21' 42.82'' N"
