Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI SAN GIORGIO DI NOGARO,San Giorgio di Nogaro - via Carnia 5,"13° 12' 20.66'' E, 45° 50' 14.45'' N"
"002 - SCUOLA PRIMARIA ""GIUSEPPE  ELLERO""",San Giorgio di Nogaro - via Università Castrense,"13° 12' 22.44'' E, 45° 49' 54.59'' N"
003 - SCUOLA SECONDARIA DI 1° GRADO NAZARIO SAURO,"San Giorgio di Nogaro - via Giovanni da Udine, 11","13° 12' 15.97'' E, 45° 49' 53.03'' N"
004 - SCUOLA SECONDARIA DI 1° GRADO NAZARIO SAURO - palestra,San Giorgio di Nogaro - Via Giovanni da Udine 7,"13° 12' 13.97'' E, 45° 49' 54.20'' N"
005 - SCUOLA SECONDARIA DI 2° GRADO MALIGNANI 2000 - ITI,San Giorgio di Nogaro - Via Palladio 19,"13° 12' 11.49'' E, 45° 50' 01.94'' N"
006 - SCUOLA SECONDARIA DI 2° GRADO MALIGNANI 2000 - IPSIA,San Giorgio di Nogaro - Via Università Castrense,"13° 12' 19.80'' E, 45° 49' 54.42'' N"
"007 - SCUOLA MATERNA  ""MARIA BAMBINA""",San Giorgio di Nogaro - Via Paolo Diacono 22,"13° 12' 20.91'' E, 45° 49' 50.87'' N"
008 - ASILO NIDO INTEGRATO,San Giorgio di Nogaro - Via Paolo Diacono 22,"13° 12' 22.59'' E, 45° 49' 50.87'' N"
