Denominazione,Indirizzo,Coordinate
001 - Marcegaglia S.p.A.,Planais di San Giorgio di Nogaro  - Via Enrico Fermi,"13° 13' 56.72'' E, 45° 47' 20.49'' N"
003 - A.F.V. Acciaierie Beltrame S.p.A.,"Planais di San Giorgio di Nogaro - Via Enrico Fermi, 38","13° 13' 24.43'' E, 45° 47' 55.41'' N"
004 - Sangalli Vetro Porto Nogaro S.p.A.,Planais di San Giorgio di Nogaro - Via Enrico Fermi,"13° 13' 53.52'' E, 45° 46' 15.56'' N"
005 - CAFC S.p.A. (ex Cons. Depurazione Laguna S.p.A.),Planais di San Giorgio di Nogaro - Via Jacopo Linussio,"13° 13' 55.28'' E, 45° 45' 40.05'' N"
006 - Control Pet S.A. (ex Artenius Italia S.p.A.),Planais di San Giorgio di Nogaro - Via Ettore Majorana,"13° 14' 09.39'' E, 45° 46' 45.37'' N"
007 - EVRAZ Palini e Bertoli S.p.A.,"Planais di San Giorgio di Nogaro - Via E. Fermi, 28","13° 13' 00.98'' E, 45° 48' 23.00'' N"
008 - Metinvest Trametal S.p.A. (ex Trametal S.p.A.),"Planais di SAn Giorgio di Nogaro - Via Enrico Fermi, 44","13° 13' 20.39'' E, 45° 47' 30.09'' N"
009 - Nunki Steel S.p.A. (P.M.T. S.p.A.),"Planais di SAn Giorgio di Nogaro - Via Enrico Fermi, 33","13° 13' 51.78'' E, 45° 47' 13.90'' N"
010 - Risorse Energetiche S.r.l.,"Planais di San Giorgio di Nogaro - Via Enrico Fermi, 17","13° 13' 21.28'' E, 45° 48' 17.83'' N"
011 - Kemira Italy S.p.A.,"Planais di San Giorgio di Nogaro - Via Ettore Majorana, 3","13° 14' 24.73'' E, 45° 46' 50.21'' N"
012 - Officine Tecnosider S.r.l.,"Planais di San Giorgio di Nogaro - Via Fermi,20","13° 14' 00.02'' E, 45° 46' 09.12'' N"
013 - Artenius Italia S.p.A.,Planais di San Giorgio di Nogaro - Via Fermi,"13° 13' 25.89'' E, 45° 47' 21.31'' N"
