Denominazione,Sensori,Coordinate
PCIV - Spilimbergo,"Umidità, Temperatura, Pioggia","12° 52' 57.00'' E, 46° 06' 31.00'' N"
PCIV - Vacile,"Temperatura, Pioggia","12° 53' 16.01'' E, 46° 08' 39.98'' N"
