Denominazione,Sensori,Coordinate
PCIV - S.Vito al Tagliamento,"Temperatura, Pioggia","12° 52' 09.98'' E, 45° 55' 32.02'' N"
H4 - San Vito al Tagliamento,"Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","12° 48' 57.96'' E, 45° 53' 47.04'' N"
