Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA GIANNI RODARI,San Vito al Tagliamento - Via Pietro Angelo Cristofoli,"12° 52' 17.75'' E, 45° 54' 54.37'' N"
002 - SCUOLA DELL'INFANZIA DON ANTONIO D'ANDREA,Prodolone - Via Chiesa,"12° 50' 34.00'' E, 45° 55' 32.13'' N"
003 - SCUOLA PRIMARIA A. L. MORO,San Vito al Tagliamento - Piazzale Girone 16,"12° 51' 20.01'' E, 45° 54' 47.50'' N"
004 - SCUOLA PRIMARIA GUGLIELMO MARCONI,San Vito al Tagliamento - Via Galante Ciliti,"12° 52' 16.88'' E, 45° 54' 52.61'' N"
005 - SCUOLA PRIMARIA DI PRODOLONE-E.DE AMICIS,Prodolone - Via Madonna 32,"12° 50' 15.34'' E, 45° 55' 29.82'' N"
006 - SCUOLA SECONDARIA DI 1° GRADO AMALTEO POMPONIO - TOMMASEO,Ligugnana - Via Angelo Galante 9,"12° 52' 14.02'' E, 45° 54' 54.82'' N"
007 - SCUOLA SECONDARIA DI 1° GRADO AMALTEO POMPONIO - TOMMASEO - sede dirigenza,San Vito al Tagliamento - Via Stazione 21,"12° 51' 08.75'' E, 45° 54' 48.13'' N"
008 - SCUOLA SECONDARIA DI 2° GRADO LE FILANDIERE,San Vito al Tagliamento - Via Patriarcato 24,"12° 51' 10.75'' E, 45° 54' 45.30'' N"
009 - SCUOLA SECONDARIA DI 2° GRADO G.FRESCHI,San Vito al Tagliamento - Via Dante Alighieri 9,"12° 51' 15.56'' E, 45° 54' 48.42'' N"
010 - SCUOLA SECONDARIA DI 2° GRADO PAOLO SARPI - serale,San Vito al Tagliamento - Via Brigata Osoppo 9,"12° 51' 19.97'' E, 45° 55' 02.64'' N"
011 - SCUOLA DELL'INFANZIA PARITARIA ANTONIETTA E GIOVANNA FABRICI,San Vito al Tagliamento - Via Filippini 4,"12° 51' 10.42'' E, 45° 54' 55.20'' N"
012 - SCUOLA DELL'INFANZIA PARITARIA GIANPAOLO E FEDERICO MORASSUTTI,San Vito al Tagliamento - Piazzale Santuario 22,"12° 52' 04.61'' E, 45° 55' 08.84'' N"
013 - SCUOLA DELL'INFANZIA PARITARIA LA NOSTRA FAMIGLIA,San Vito al Tagliamento - Via della Bontà 7,"12° 51' 17.72'' E, 45° 54' 32.64'' N"
014 - SCUOLA DELL'INFANZIA PARITARIA SACRO CUORE DI GESU',Savorgnano - Via Maggiore 6,"12° 51' 07.84'' E, 45° 53' 46.35'' N"
015 - SCUOLA DELL'INFANZIA PARITARIA SANTA TERESINA DEL BAMBINO GESU',Gleris - Via Provinciale 29,"12° 52' 25.70'' E, 45° 53' 41.49'' N"
016 - SCUOLA PRIMARIA LA NOSTRA FAMIGLIA,San Vito al Tagliamento - Via della Bontà 7,"12° 51' 17.09'' E, 45° 54' 31.96'' N"
017 - SCUOLA SECONDARIA DI 2° GRADO PAOLO SARPI,San Vito al Tagliamento - Via Brigata Osoppo 9,"12° 51' 19.04'' E, 45° 55' 02.26'' N"
018 - SCUOLA SECONDARIA DI 2° GRADO PAOLO SARPI,San Vito al Tagliamento - Via Brigata Osoppo 9,"12° 51' 17.65'' E, 45° 55' 01.50'' N"
019 - SCUOLA SECONDARIA DI 2° GRADO LE FILANDIERE ,San Vito al Tagliamento - Via Stazione 21,"12° 51' 09.73'' E, 45° 54' 47.91'' N"
020 - ASILO NIDO COMUNALE ARCOBALENO,San Vito al Tagliamento - Via Pietro Angelo Cristofoli,"12° 52' 11.47'' E, 45° 54' 56.40'' N"
021 - ASILO NIDO PRIVATO ABBRACCIO,Zona industriale Ponte Rosso - Via Forgaria,"12° 52' 49.57'' E, 45° 56' 39.50'' N"
