Denominazione,Indirizzo,Coordinate
001 - Soc. Agricola S. Fosca di Gemin A. & C. s.s.,"Località Savorgnano, Via Rosch, 5","12° 50' 31.09'' E, 45° 53' 03.19'' N"
002 - Anoxidall S.r.l.,"San Vito al Tagliamento - Via Forgaria, 2 - Z.I. Ponte Rosso","12° 53' 00.42'' E, 45° 56' 41.19'' N"
003 - Geo Nova S.p.A.,"Via Gemona, 4","12° 53' 08.04'' E, 45° 56' 03.85'' N"
004 - Refel S.p.A.," - Zona Industriale Ponte Rosso - Via Tolmezzo, 4","12° 52' 23.46'' E, 45° 56' 39.12'' N"
"005 - Az. Agr. Milani di Milani Maurizio, Orazio e Renzo s.s.","Località Torricella,18","12° 48' 19.14'' E, 45° 54' 51.89'' N"
006 - Vetri Speciali S.p.A.,"Via Gemona, 5","12° 53' 10.32'' E, 45° 56' 12.47'' N"
007 - Az. Agr. Zarattini Stefano S.r.l.,"Località Pitocco, Via Canedo","12° 49' 03.37'' E, 45° 55' 12.81'' N"
008 - Neubor Glass S.p.A.,"Zona Industriale Ponte Rosso - Via Murano, 2","12° 52' 37.47'' E, 45° 56' 41.57'' N"
009 - Zincol Italia S.p.A.," - Zona Ind. Ponte Rosso - Via Tolmezzo, 2/A","12° 52' 28.98'' E, 45° 56' 39.74'' N"
010 - Zincheria Ponterosso S.p.A.,,"12° 52' 29.13'' E, 45° 56' 38.61'' N"
