Denominazione,Indirizzo,Coordinate
001 - Piazza Libertà Azzano X,Azzano Decimo - Piazza Libertà,"12° 42' 51.71'' E, 45° 52' 53.00'' N"
004 - Parcheggio Casa di Riposo,Azzano Decimo - Via XXV aprile,"12° 42' 27.47'' E, 45° 52' 47.27'' N"
005 - Parcheggio EX IRFOP,Azzano Decimo - Via Divisione Julia,"12° 42' 19.05'' E, 45° 53' 09.91'' N"
013 - Piazza Garibaldi,Tiezzo - Piazza Garibaldi,"12° 40' 22.48'' E, 45° 53' 29.29'' N"
017 - Parcheggio campo sportivo Tiezzo,"Tiezzo - Via Armentera, 21","12° 40' 07.49'' E, 45° 53' 34.21'' N"
019 - Parcheggio Chiesa,Corva - Piazza San Bartolomeo,"12° 39' 21.74'' E, 45° 54' 57.59'' N"
022 - Area verde via monsignor Indri,Corva - Via Mons. Indri,"12° 39' 19.58'' E, 45° 54' 54.31'' N"
"023 - Piazza S, Michele","Fagnigola - Piazza S, Michele","12° 41' 04.77'' E, 45° 50' 57.91'' N"
026 - Area scuola elementare Fagnigola,"Fagnigola - Via Runtine, 6","12° 41' 08.34'' E, 45° 51' 03.97'' N"
028 - Piazza chiesa Fratte e area sportiva,Fratte - Via Nuova Fratte,"12° 42' 33.34'' E, 45° 54' 22.84'' N"
044 - Area festeggiamenti Cesena,Cesena - Via Cesena,"12° 44' 25.62'' E, 45° 53' 01.51'' N"
050 - Cinque Strade,Cinque Strade - Via Corva,"12° 40' 08.86'' E, 45° 54' 29.30'' N"
