,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        266
      ","
        
      ","
        
      ","
        266
      "
"
        Numero di famiglie
      ","
        132
      ","
        
      ","
        
      ","
        132
      "
"
        Numero di abitazioni
      ","
        257
      ","
        
      ","
        25
      ","
        282
      "
"
        Numero di edifici
      ","
        203
      ","
        
      ","
        19
      ","
        222
      "
"
        Numero di edifici residenziali
      ","
        190
      ","
        
      ","
        19
      ","
        209
      "
