,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        2548
      ","
        
      ","
        29
      ","
        2577
      "
"
        Numero di famiglie
      ","
        1043
      ","
        
      ","
        14
      ","
        1057
      "
"
        Numero di abitazioni
      ","
        1288
      ","
        
      ","
        17
      ","
        1305
      "
"
        Numero di edifici
      ","
        990
      ","
        
      ","
        18
      ","
        1008
      "
"
        Numero di edifici residenziali
      ","
        879
      ","
        
      ","
        12
      ","
        891
      "
