Denominazione,Indirizzo,Coordinate
"001 - Parcheggio campo sportivo ""Ai Pioppi"" loc. Paludea",Paludea - Loc. Paludea,"12° 53' 56.88'' E, 46° 11' 55.54'' N"
002 - Parcheggio Centro Polifunzionale-Biblioteca loc. Paludea 15,Paludea - loc. Paludea  n. 15,"12° 54' 06.96'' E, 46° 11' 57.67'' N"
015 - Loc. Michei,Michei - loc. Michei,"12° 53' 59.29'' E, 46° 11' 09.87'' N"
019 - Loc Mont,Mont - Loc. Mont,"12° 53' 47.91'' E, 46° 11' 17.99'' N"
020 - Loc. Franz,Franz - Loc. Franz,"12° 54' 33.30'' E, 46° 10' 59.17'' N"
021 - Loc. Mostacins,Mostacins - Loc. Mostacins,"12° 54' 49.91'' E, 46° 10' 48.75'' N"
"022 - Loc , Oltrerugo Vicinanze ex ristorante Cico",Oltrerugo - ex Osteria Dal Cjco,"12° 54' 59.08'' E, 46° 11' 19.93'' N"
023 - Loc. Celante,Celante - Loc. Celante,"12° 54' 39.20'' E, 46° 12' 35.95'' N"
024 - Loc. Almadis,Almadis - Loc. Almadis,"12° 53' 50.35'' E, 46° 12' 35.61'' N"
025 - Loc. Vidunza,Vidunza-Braida - Loc. Vidunza-Braida,"12° 53' 26.12'' E, 46° 12' 02.95'' N"
026 - Mocenigo-Sede Alpini,Mocenigo - Loc. Mocenigo,"12° 53' 27.87'' E, 46° 11' 13.35'' N"
027 - Loc. Madonna dello Zucco,Madonna dello Zucco - Loc. Madonna dello Zucco,"12° 53' 37.09'' E, 46° 10' 44.70'' N"
029 - Oltrerugo  ,Oltrerugo - piazzale adiacente chiesa,"12° 54' 43.48'' E, 46° 11' 29.47'' N"
030 - martiners,Martiners - martiners,"12° 53' 58.89'' E, 46° 12' 09.67'' N"
031 - Ghet,Ghet - Ghet,"12° 53' 10.05'' E, 46° 12' 02.60'' N"
033 - Sottocolli,sottocolli - Sottocolli,"12° 53' 55.67'' E, 46° 10' 45.38'' N"
034 - Tisins - Belus,Belus - Belus,"12° 53' 15.62'' E, 46° 11' 01.81'' N"
035 - Loc. Costa,Costa - Costa,"12° 54' 22.96'' E, 46° 11' 05.16'' N"
036 - Loc. Gris,Gris - Gris,"12° 53' 44.05'' E, 46° 11' 01.18'' N"
037 - loc. Rizzos,Rizzos - Rizzos,"12° 53' 56.60'' E, 46° 12' 36.91'' N"
038 - loc. Sulis,Sulis - Sulis,"12° 54' 21.26'' E, 46° 11' 17.35'' N"
039 - Area Industriale-Artigianale Madonna dello Zucco,Madonna dello Zucco - Madonna dello Zucco,"12° 53' 38.91'' E, 46° 10' 36.16'' N"
