Denominazione,Indirizzo,Coordinate
001 - Parcheggio piscina Acquamarina,  - Molo Fratelli Bandiera,"13° 45' 19.49'' E, 45° 38' 48.52'' N"
002 - Fontana viale Romolo Gessi,  - Viale Romolo Gessi,"13° 45' 16.74'' E, 45° 38' 28.25'' N"
003 - Giardino piazza Carlo Alberto,  - Piazza Carlo Alberto,"13° 45' 21.04'' E, 45° 38' 33.11'' N"
004 - Piazzale Starulino e Rode (ex piscina Bianchi),  - Piazzale Straulino e Rode,"13° 45' 37.88'' E, 45° 38' 48.64'' N"
012 - Giardino piazzale Rosmini,  - Piazzale Rosmini,"13° 45' 59.65'' E, 45° 38' 26.54'' N"
016 - Piazza Goldoni,34100 Trieste - piazza Goldoni,"13° 46' 38.45'' E, 45° 38' 58.63'' N"
"017 - Parcheggio palazzetto ""Atleti Azzurri d'Italia""",  - via di Calvola 1,"13° 46' 19.27'' E, 45° 38' 28.25'' N"
018 - Piazzale De Gasperi, - Piazzale De Gasperi,"13° 47' 40.76'' E, 45° 38' 22.27'' N"
019 - Piazza Garibaldi,34100 Trieste - piazza Garibaldi,"13° 46' 50.70'' E, 45° 38' 45.59'' N"
020 - Largo Barriera Vecchia,34100 Trieste - largo Barriera Vecchia,"13° 46' 44.29'' E, 45° 38' 54.08'' N"
021 - Piazzale cimitero Sant'Anna,34100 Trieste - Via dell'Istria 106,"13° 47' 40.09'' E, 45° 37' 42.00'' N"
022 - Piazzale Valmaura,34100 Trieste - piazzale Valmaura,"13° 47' 41.07'' E, 45° 37' 30.44'' N"
024 - Piazzale Azzurri d'Italia,34100 Trieste - Piazzale Azzurri d'Italia,"13° 47' 26.20'' E, 45° 37' 16.71'' N"
025 - Parcheggio Stadio Piazzale Cagni,34100 Trieste - Via Flavia - via Mafalda di Savoia - piazzale Cagni,"13° 47' 55.35'' E, 45° 37' 16.29'' N"
030 - Giardino via del Veltro,34100 Trieste - Strada di Fiume 50,"13° 47' 23.12'' E, 45° 38' 14.02'' N"
031 - Parcheggio via dei Modiano,34100 Trieste - via dei Modiano fronte 1/2,"13° 47' 59.42'' E, 45° 38' 12.24'' N"
033 - Parco giochi Borgo S.Sergio (Via Curiel),34100 Trieste - via Forti - via Curiel,"13° 49' 26.33'' E, 45° 37' 12.93'' N"
034 - Parco giochi Borgo S.Sergio (Via Cenati),34100 Trieste - Via Cenati,"13° 49' 28.54'' E, 45° 37' 06.02'' N"
035 - Parcheggio via Costalunga (pizzeria Golosone),34100 Trieste - Via Costalunga,"13° 48' 19.73'' E, 45° 37' 36.04'' N"
036 - Parcheggio piscina Altura,Altura - Via Monte Peralba,"13° 49' 15.45'' E, 45° 37' 38.66'' N"
040 - Piazzetta Padriciano,34100 Trieste - Loc. Padadriciano 218,"13° 50' 21.81'' E, 45° 39' 30.42'' N"
041 - Piazzetta Gropada,34100 Trieste - Loc. Gropada 138,"13° 50' 55.97'' E, 45° 39' 51.76'' N"
042 - Area verde stagno Basovizza,34100 Trieste - via Gruden,"13° 51' 56.90'' E, 45° 38' 34.00'' N"
044 - Piazzetta Banne,34100 Trieste - loc. Banne (Antistante AN. 43 Banne),"13° 48' 11.73'' E, 45° 40' 42.50'' N"
045 - San Giusto - fontana di Montuzza,  - v.le Ragazzi del 99,"13° 46' 28.73'' E, 45° 38' 50.96'' N"
046 - San Giusto - Monumento ai Caduti,  - via Rota,"13° 46' 19.50'' E, 45° 38' 50.87'' N"
048 - Piazza Sansovino,34100 Trieste - p.zza Sansovino - via Capitolina,"13° 46' 33.66'' E, 45° 38' 44.71'' N"
049 - Largo Via Veronese / S. Giacomo in Monte,San Giacomo - via S.Giacomo in Monte - via Veronese - via Frausin,"13° 46' 39.02'' E, 45° 38' 39.65'' N"
050 - Campo San Giacomo,San Giacomo - Campo San Giacomo,"13° 46' 46.77'' E, 45° 38' 32.61'' N"
051 - Via Von Bruck (Torre del Lloyd),34100 Trieste - via Von Bruck,"13° 46' 10.97'' E, 45° 38' 13.45'' N"
052 - Giardino Ponziana,34100 Trieste - via Orlandini-via d'Alviano,"13° 46' 52.06'' E, 45° 38' 20.08'' N"
054 - Centro civico Opicina - giardino G. e R. Blaima,Opicina - Via Doberdò 20/3,"13° 47' 07.09'' E, 45° 41' 19.36'' N"
055 - Largo Via Freud,Opicina - Via Freud 25,"13° 47' 50.55'' E, 45° 41' 21.89'' N"
056 - Piazzetta Trebiciano,34100 Trieste - S.P.1 del Carso,"13° 49' 30.81'' E, 45° 40' 20.83'' N"
058 - Parcheggio loc. quadrivio Opicina,Opicina - S.P.35 - via Ermada,"13° 47' 02.84'' E, 45° 40' 57.50'' N"
060 - Giardino via Papaveri / via Fiordalisi,34100 Trieste - via Papaveri - via dei Fiordalisi,"13° 46' 38.58'' E, 45° 41' 34.11'' N"
061 - Giardino Borgo S. Nazario,Prosecco Borgo San Nazario - Via San Nazario 138,"13° 44' 23.09'' E, 45° 42' 03.38'' N"
063 - Parco giochi Prosecco,34100 Trieste - via S.Nazario 3,"13° 44' 04.69'' E, 45° 42' 26.83'' N"
064 - Parcheggio campo sportivo S.Croce,34100 Trieste - S.Croce AN 470/a-b-c-d,"13° 41' 28.12'' E, 45° 44' 11.14'' N"
065 - Parcheggio st. Friuli / via Bernardi,34100 Trieste - s.da Friuli - via Bernardi,"13° 45' 23.94'' E, 45° 41' 07.57'' N"
066 - Parcheggio st. Friuli / via Righetti,34100 Trieste - s.da Friuli-via Righetti,"13° 45' 43.89'' E, 45° 40' 45.73'' N"
068 - Piazza tra i Rivi,Roiano - Piazza tra i Rivi,"13° 46' 20.22'' E, 45° 39' 53.94'' N"
069 - Parcheggio campo sportivo Cologna,Cologna - via Amendola 1,"13° 47' 13.65'' E, 45° 39' 54.67'' N"
070 - Largo Roiano,Roiano - l.go Roiano,"13° 46' 10.13'' E, 45° 39' 48.02'' N"
071 - Parcheggio Faro della Vittoria,Barcola - Strada del Friuli,"13° 45' 28.29'' E, 45° 40' 29.22'' N"
072 - Giardino di piazza Libertà,34100 Trieste - piazza Libertà,"13° 46' 21.24'' E, 45° 39' 25.24'' N"
073 - Largo Osoppo,Gretta - l.go Osoppo,"13° 46' 00.29'' E, 45° 40' 10.40'' N"
074 - Pineta di Barcola - fontana,Barcola - Piazzale Biagio Marin,"13° 44' 55.47'' E, 45° 41' 05.31'' N"
075 - Piazza Oberdan,  - P.zza Oberdan,"13° 46' 33.33'' E, 45° 39' 15.25'' N"
076 - Piazza Sant'Antonio Nuovo,  - p.zza Sant'Antonio Nuovo,"13° 46' 26.94'' E, 45° 39' 05.97'' N"
077 - Stazione Marittima,  - Piazzale Marinai d'Italia,"13° 45' 52.04'' E, 45° 38' 57.83'' N"
079 - Piazza della Borsa,  - Piazza della Borsa,"13° 46' 13.38'' E, 45° 39' 01.38'' N"
081 - Via Giulia - monumento a D. Rossetti,34100 Trieste - via Giulia 1,"13° 46' 57.51'' E, 45° 39' 13.21'' N"
082 - Piazza Volontari Giuliani,34100 Trieste - p.zza Volontari Giuliani,"13° 47' 21.02'' E, 45° 39' 15.67'' N"
083 - Largo via Revoltella - via S.Pasquale,  - Inc. Revoltella - S.Pasquale - Forlanini,"13° 48' 40.73'' E, 45° 38' 30.66'' N"
084 - Parcheggio Rotonda del Boschetto,San Giovanni - Rotonda del Boschetto 6,"13° 47' 51.41'' E, 45° 39' 16.80'' N"
085 - Piazzale Europa,34100 Trieste - p.zzale Europa,"13° 47' 31.56'' E, 45° 39' 27.28'' N"
086 - Parcheggio ITIS Volta,34100 Trieste - via Monte Grappa 8,"13° 47' 17.92'' E, 45° 39' 32.03'' N"
087 - Largo via Cantù / via Romagna,Romagna - via Romagna 91,"13° 46' 46.41'' E, 45° 39' 39.13'' N"
088 - Parcheggio st. per Longera / via Correggio,Longera - s.da per Longera-via Correggio,"13° 48' 57.12'' E, 45° 38' 59.21'' N"
089 - Piazzale ristorante Suban,34100 Trieste - via Comici 2/d,"13° 48' 29.28'' E, 45° 39' 12.84'' N"
090 - Conconello belvedere,34100 Trieste - via Bellavista,"13° 47' 36.36'' E, 45° 40' 11.27'' N"
091 - Parcheggio scuola via  Forlanini,Longera - Via Forlanini 30,"13° 49' 33.39'' E, 45° 38' 17.32'' N"
092 - Parcheggio Villa Revoltella,San Luigi - V.le del Cacciatore - Via Marchesetti,"13° 48' 54.85'' E, 45° 38' 41.08'' N"
093 - Ferdinandeo,San Luigi - Via De Marchesetti,"13° 48' 34.82'' E, 45° 38' 43.77'' N"
096 - Largo via Cumano / via Grimani,34100 Trieste - via Cumano - via Grimani,"13° 48' 18.46'' E, 45° 38' 24.85'' N"
097 - V.le Sanzio 31 - Distributore Q8,San Giovanni - Viale Raffaello Sanzio 31,"13° 48' 14.06'' E, 45° 39' 20.61'' N"
098 - Piazza Ponterosso,34100 Trieste - Piazza del Ponterosso,"13° 46' 20.03'' E, 45° 39' 06.18'' N"
099 - Parcheggio - Via Pitacco,Servola - via Pitacco 23,"13° 46' 48.94'' E, 45° 37' 27.33'' N"
100 - Via del Panebianco - Mamaca Park,Servola - via del Pane Bianco 16,"13° 47' 13.24'' E, 45° 37' 31.46'' N"
101 - Via Castelliere / Via Botro,Cattinara - Via del Castelliere 12,"13° 49' 20.78'' E, 45° 38' 03.35'' N"
102 - Strada per Longera - dir. Cattinara,Longera - Strada per Longera 293,"13° 49' 54.98'' E, 45° 38' 15.08'' N"
103 - Via Bonomea alta,Gretta - via Bonomea 249,"13° 46' 11.31'' E, 45° 40' 38.63'' N"
104 - Area verde condominiale via Campanelle,Campanelle - via Campanelle 142,"13° 47' 52.81'' E, 45° 38' 08.90'' N"
