Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI VIA COLONNA,Trieste - Via  Vittoria Colonna 1,"13° 46' 02.24'' E, 45° 38' 48.24'' N"
002 - SCUOLA PRIMARIA FERRUCCIO DARDI,Trieste - Via Giotto 2,"13° 46' 53.70'' E, 45° 39' 09.38'' N"
003 - SCUOLA DELL'INFANZIA DON E. MARZARI,Villa Opicina - Piazzale Monte Re,"13° 47' 18.92'' E, 45° 41' 08.32'' N"
004 - SCUOLA SECONDARIA DI 1° GRADO MUZIO DE TOMMASINI - succ. BANNE,Banne - Strada di Basovizza 60,"13° 48' 14.92'' E, 45° 40' 54.37'' N"
005 - SCUOLA DELL'INFANZIA UBALD VRABEC - LINGUA INS.SLOVENA,Basovizza - Via Gruden 34,"13° 51' 36.89'' E, 45° 38' 28.38'' N"
006 - SCUOLA PRIMARIA CARLO LONA,Opicina - Villa Carsia - Via San Mauro 14,"13° 46' 44.36'' E, 45° 41' 24.29'' N"
007 - SCUOLA PRIMARIA DUCA D'AOSTA,Trieste - Via Vespucci 2,"13° 46' 37.47'' E, 45° 38' 36.37'' N"
008 - SCUOLA PRIMARIA DOMENICO ROSSETTI,Sant'Anna - Via Zandonai 4,"13° 47' 54.96'' E, 45° 37' 23.12'' N"
009 - SCUOLA SECONDARIA DI 1° GRADO FRANCESCO RISMONDO,Trieste - Via Forlanini 30,"13° 49' 36.10'' E, 45° 38' 17.05'' N"
010 - SCUOLA DELL'INFANZIA DI VIA VALLICULA,Trieste - Via Vallicula 11,"13° 45' 28.22'' E, 45° 40' 46.44'' N"
011 - SCUOLA PRIMARIA DI SANTA CROCE,Santa Croce - Santa Croce 442,"13° 41' 21.75'' E, 45° 44' 08.05'' N"
012 - SCUOLA PRIMARIA GIACOMO VENEZIAN,Prosecco - Località Prosecco 595,"13° 44' 00.75'' E, 45° 42' 22.05'' N"
013 - SCUOLA DELL'INFANZIA DI LONGERA,Longera - Strada per Longera 240,"13° 49' 48.13'' E, 45° 38' 27.57'' N"
014 - SCUOLA PRIMARIA KAREL DESTOVNIK KAJUH - LINGUA INS.SLOVENA,Gropada - Gropada 92,"13° 50' 38.00'' E, 45° 39' 45.53'' N"
015 - SCUOLA DELL'INFANZIA ELVIRA KRALJ - LINGUA INS.SLOVENA,Trebiciano - Località Trebiciano 30,"13° 49' 31.09'' E, 45° 40' 21.95'' N"
016 - SCUOLA PRIMARIA EZIO DE MARCHI,Servola - Salita Ezio De Marchi 8,"13° 46' 55.78'' E, 45° 37' 33.74'' N"
017 - SCUOLA DELL'INFANZIA JAKOB UKMAN - LINGUA INS.SLOVENA,Sant'Anna - Vecchia dell'Istria 78,"13° 47' 50.93'' E, 45° 37' 22.50'' N"
018 - SCUOLA PRIMARIA ELIO MORPURGO,Trieste - Scala Campi Elisi 4,"13° 45' 54.74'' E, 45° 38' 21.95'' N"
019 - SCUOLA SECONDARIA DI 2° GRADO TOMASO DI SAVOIA DUCA DI GENOVA,Trieste - Piazza Attilio Hortis 1,"13° 45' 52.12'' E, 45° 38' 50.69'' N"
020 - SCUOLA PRIMARIA UMBERTO GASPARDIS,Trieste - Via Casimiro Donadoni 28,"13° 47' 15.48'' E, 45° 38' 37.07'' N"
021 - SCUOLA PRIMARIA ANITA PITTONI,Trieste - Via G. Vasari 23,"13° 46' 58.82'' E, 45° 38' 53.21'' N"
022 - SCUOLA PRIMARIA ALDO PADOA,trieste - Via Archi 4,"13° 47' 30.12'' E, 45° 39' 05.82'' N"
