Denominazione,Indirizzo,Coordinate
001 - Parcheggio Via Marzona,Villa di Verzegnis - Via Marzona,"12° 58' 23.04'' E, 46° 23' 41.45'' N"
002 - Parcheggi Via Vittorio Veneto Chiaicis,Chiaicis - Starada Provinciale della Val D'Arzino - Via Vittorio Veneto,"12° 58' 32.92'' E, 46° 23' 00.78'' N"
004 - Parcheggi Località Marzovalis,Marzovalis - Via Marzovalis,"12° 59' 08.41'' E, 46° 23' 00.15'' N"
005 - parcheggio Via degli Artigiani,Chiaulis - Via Degli Artigiani,"12° 59' 25.34'' E, 46° 23' 16.62'' N"
006 - Parcheggi centro sociale,Intissans - Strada Priovinciale della Val D'Arzino - Via Pordenone,"12° 59' 31.60'' E, 46° 23' 00.71'' N"
007 - Sede Municipale,Chiaulis - Via Udine n.2,"12° 59' 37.01'' E, 46° 23' 22.79'' N"
008 - PIAZZETTA RIVIASIO,LOCALITA' RIVIASIO - VIA RIVIASIO,"12° 58' 27.19'' E, 46° 23' 28.90'' N"
009 - PIAZZETTA ASSAIS,LOCALITA' ASSAIS - ASSAIS,"12° 57' 14.58'' E, 46° 23' 09.29'' N"
