Denominazione,Indirizzo,Coordinate
002 - MONTEFOSCA,MONTEFOSCA - strada per Farcadizze,"13° 26' 43.93'' E, 46° 11' 54.79'' N"
003 - CALLA,CALLA - via Calla,"13° 26' 46.67'' E, 46° 10' 56.34'' N"
004 - GOREGNAVAS,GOREGNAVAS INFERIORE - via Goregnavas,"13° 27' 34.10'' E, 46° 11' 07.51'' N"
005 - ZAPATOCCO,ZAPATOCCO - via Zapatocco,"13° 27' 19.41'' E, 46° 10' 47.97'' N"
006 - ERBEZZO,Erbezzo - via Erbezzo,"13° 27' 45.57'' E, 46° 10' 56.27'' N"
008 - LOCH,Loch - via Loch,"13° 28' 39.71'' E, 46° 10' 48.40'' N"
010 - BARDO,Bardo - via Bardo,"13° 29' 27.48'' E, 46° 11' 51.86'' N"
011 - POZZERA,Pozzera - via Pozzera,"13° 29' 04.34'' E, 46° 11' 36.85'' N"
012 - MARSEU,Marseu - Mersino - via Marseu,"13° 29' 08.13'' E, 46° 11' 28.89'' N"
014 - COCEANZI,COCEANZI - PEGLIANO - via Coceanzi,"13° 27' 43.99'' E, 46° 10' 01.32'' N"
016 - SOSGNE,SOSGNE - PEGLIANO - via Sosgne,"13° 27' 45.35'' E, 46° 09' 38.88'' N"
017 - PULLER,PULLER - via Puller,"13° 27' 46.96'' E, 46° 08' 34.29'' N"
018 - SPIGNON,SPIGNON - via Spignon,"13° 27' 52.07'' E, 46° 08' 49.87'' N"
019 - JALIG - COLIESSA,JALIG - COLIESSA - via Jalig-Coliessa,"13° 28' 16.98'' E, 46° 09' 12.99'' N"
020 - ANTRO,ANTRO - via Antro,"13° 28' 39.47'' E, 46° 09' 08.19'' N"
021 - TARCETTA,Tarcetta - via Tarcetta,"13° 28' 40.73'' E, 46° 09' 31.88'' N"
023 - LASIZ,Lasiz - via Lasiz,"13° 28' 55.95'' E, 46° 09' 49.64'' N"
024 - CICIGOLIS,Cicigolis - via Cicigolis,"13° 29' 05.10'' E, 46° 10' 10.93'' N"
025 - PULFERO 1,Pulfero Capoluogo - via Nazionale,"13° 29' 08.34'' E, 46° 10' 23.86'' N"
027 - STUPIZZA,Stupizza - via Stupizza,"13° 28' 15.65'' E, 46° 12' 00.14'' N"
028 - SCUBINA,Scubina - via Scubina,"13° 30' 33.77'' E, 46° 10' 26.59'' N"
030 - TUOMAZ,Tuomaz - via Tuomaz,"13° 30' 01.93'' E, 46° 10' 44.32'' N"
031 - OSSIACH,Ossiach - via Ossiach,"13° 29' 49.78'' E, 46° 10' 51.13'' N"
034 - CRANZOVE,Cranzove - via Cranzove,"13° 29' 44.61'' E, 46° 10' 32.17'' N"
035 - COSANEA,Cossanea - loc. Cossanea,"13° 29' 52.83'' E, 46° 10' 27.17'' N"
037 - DOMENIS,Domenis - via Domenis,"13° 29' 44.60'' E, 46° 10' 25.03'' N"
038 - BIZONTA,Bizonta - via Bizonta,"13° 29' 38.94'' E, 46° 10' 28.54'' N"
039 - ZEIAZ,Zeiaz - via Zeiaz,"13° 29' 49.38'' E, 46° 10' 18.56'' N"
041 - MOLINO ,Molino Brischis - via Molino,"13° 29' 22.55'' E, 46° 10' 08.44'' N"
042 - PEROVIZZA,Perovizza - loc. Perovizza,"13° 29' 17.11'' E, 46° 09' 32.88'' N"
043 - CRAS,Cras - via Cras,"13° 28' 54.10'' E, 46° 08' 58.70'' N"
044 - BIACIS,Biacis - via Biacis,"13° 28' 58.12'' E, 46° 08' 50.73'' N"
045 - SPAGNUT,Spagnut - via Spagnut,"13° 28' 54.99'' E, 46° 08' 38.06'' N"
046 - BRISCHIS 1,Brischis - via Brischis,"13° 29' 22.75'' E, 46° 09' 58.40'' N"
048 - PULFERO 2,PULFERO 2 - via Capoluogo Zona PEEP,"13° 28' 58.81'' E, 46° 10' 27.41'' N"
049 - UODGNACH,Uodgnach-acquedotto - Rodda Uodgnach,"13° 30' 22.01'' E, 46° 10' 39.08'' N"
