Denominazione,Indirizzo,Coordinate
001 - SCUOLA PRIMARIA ABATE BIAVI,Cervignano del Friuli - via Turisella 29,"13° 20' 55.18'' E, 45° 48' 57.08'' N"
002 - SCUOLA PRIMARIA VINCENZO GIOBERTI,Strassoldo - via delle Scuole 32,"13° 19' 08.71'' E, 45° 51' 31.59'' N"
003 - SCUOLA PRIMARIA ANGELO MOLARO,Cervignano del Friuli - Via Caiu 1,"13° 19' 47.80'' E, 45° 49' 09.35'' N"
004 - SCUOLA PRIMARIA RICCARDO PITTERI,Cervignano del Friuli - via Firenze 1,"13° 20' 20.92'' E, 45° 49' 12.50'' N"
006 - SCUOLA DELL'INFANZIA CARLO LORENZINI COLLODI,Cervignano del Friuli - via della Turisella 33,"13° 20' 58.06'' E, 45° 48' 55.31'' N"
007 - SCUOLA DELL'INFANZIA VITTORIO PODRECCA,Cervignano del Friuli - via Predicort 17,"13° 19' 59.64'' E, 45° 48' 59.27'' N"
008 - SCUOLA DELL'INFANZIA CARLO D'AGOSTINA,Strassoldo - via delle Scuole 32,"13° 19' 07.56'' E, 45° 51' 32.90'' N"
009 - SCUOLA SECONDARIA DI 1° GRADO GIOVANNI RANDACCIO,Cervignano del Friuli - via Udine  37,"13° 19' 59.23'' E, 45° 49' 37.79'' N"
010 - SCUOLA DELL'INFANZIA GIANNI RODARI,"Cervignano del Friuli - Via Ramazzotti, 1","13° 20' 23.44'' E, 45° 49' 37.76'' N"
011 - SCUOLA SECONDARIA DI 2° MALIGNANI 2000,Cervignano del Friuli - via Ramazzotti 41,"13° 20' 42.89'' E, 45° 49' 30.10'' N"
012 - SCUOLA SECONDARIA DI 2° GRADO ALBERT EINSTEIN,Cervignano del Friuli - via Pradati,"13° 20' 30.08'' E, 45° 48' 50.13'' N"
013 - SCUOLA MATERNA NON STATALE PARROCCHIALE MARIA IMMACOLATA,Cervignano del Friuli - Via Brumatti 27,"13° 20' 02.30'' E, 45° 49' 11.77'' N"
