Denominazione,Indirizzo,Coordinate
001 - Valdifrina,Valdifrina - Strada comunale Valdifrina,"12° 41' 54.12'' E, 46° 12' 20.31'' N"
002 - Pian delle merie,Pian delle merie - Strada Pala Barzana ovest,"12° 41' 46.44'' E, 46° 12' 36.59'' N"
003 - Bg Vals-Fulin,Vals-Fulin - Strada comunale Vals-Fulin,"12° 43' 20.14'' E, 46° 11' 36.76'' N"
005 - Albergo alla Alpi,Frisanco - Via Roma,"12° 43' 29.95'' E, 46° 12' 48.87'' N"
006 - Parcheggio Casasola,Casasola - Via Navorans,"12° 43' 45.32'' E, 46° 13' 18.35'' N"
007 - Scuola Colvere,Colvere - SP 26,"12° 42' 58.32'' E, 46° 12' 10.60'' N"
008 - Via di Sopra,Frisanco - Via di sopra,"12° 43' 41.84'' E, 46° 12' 42.20'' N"
009 - Parcheggio Pognici,Frisanco - Via Longjara,"12° 43' 48.51'' E, 46° 12' 45.92'' N"
011 - Sede comunale,Frisanco - Via Valdestali n°1,"12° 43' 26.49'' E, 46° 12' 46.13'' N"
012 - Bg Valdestali,Valdestali - Valdestali,"12° 45' 27.67'' E, 46° 12' 21.93'' N"
013 - Bg Preplans,Preplans - Preplans,"12° 46' 10.82'' E, 46° 13' 02.29'' N"
014 - Bg Fornasatte,Fornasatte - Strada comunale Fornasatte,"12° 42' 50.82'' E, 46° 11' 58.45'' N"
015 - Peschiere,Poffabro - Via della Roja,"12° 42' 28.09'' E, 46° 13' 05.86'' N"
016 - Cimitero vecchio,Poffabro - Via Reghenaz,"12° 42' 28.79'' E, 46° 12' 54.30'' N"
017 - Pesa,Crociera S. Floriano - Strada Pala Barzana ovest,"12° 42' 48.81'' E, 46° 12' 55.41'' N"
018 - Valavan,Bg Valavan - Strada comunale Valavan,"12° 44' 13.83'' E, 46° 11' 25.52'' N"
