Denominazione,Indirizzo,Coordinate
001 - Area attesa piazza Pantianicco,Pantianicco - Piazza Cortina,"13° 01' 58.69'' E, 46° 01' 18.80'' N"
002 - Area attesa Casa del Sidro Pantianicco,Pantianicco - Via C. Percoto n. 4,"13° 02' 11.28'' E, 46° 01' 19.63'' N"
004 - Piazza Montello,Mereto di Tomba - Piazza Montello,"13° 02' 29.31'' E, 46° 03' 12.28'' N"
005 - Area Municipio,Mereto di Tomba - Via Divisione Julia 8,"13° 02' 53.99'' E, 46° 03' 02.69'' N"
006 - Ex Asilo,San Marco - Via Del Monumento,"13° 05' 15.05'' E, 46° 03' 25.65'' N"
007 - Centro Sociale San Leonardo,Plasencis - Via Duca D'Aosta,"13° 04' 40.53'' E, 46° 04' 01.05'' N"
008 - Area esterna scuola dell'Infanzia di Tomba,Tomba - Via Monte Grappa n. 12,"13° 04' 00.10'' E, 46° 02' 49.46'' N"
