Denominazione,Sensori,Coordinate
PCIV - Pordenone Meduna,Idrometro,"12° 41' 55.00'' E, 45° 56' 46.00'' N"
PCIV - Cordenons,"Umidità, Pressione, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","12° 42' 02.02'' E, 46° 00' 33.01'' N"
