Denominazione,Indirizzo,Coordinate
001 - Area Esterna Palazzetto dell Sport,Codroipo - Via Circonvallazione Sud,"12° 58' 42.35'' E, 45° 57' 30.69'' N"
002 - Incrocio Via XXIV Maggio-Via Venzone,Codroipo - Via XXIV Maggio,"12° 59' 38.87'' E, 45° 57' 21.00'' N"
003 - via Franco Bertagnolli,Codroipo - via Franco Bertagnolli,"12° 58' 21.14'' E, 45° 57' 26.27'' N"
004 - Area Verde Piazza Giardini,Codroipo - Piazza Giardini,"12° 58' 29.98'' E, 45° 57' 47.09'' N"
005 - 2°Peep,Codroipo - Via C.A. Seghizzi,"12° 59' 28.34'' E, 45° 57' 50.00'' N"
007 - Beano Piazza,Beano - Piazza Fontane,"13° 01' 31.55'' E, 45° 59' 45.74'' N"
008 - Rivolto - Piazza,Rivolto - Piazza delle Scuole,"13° 01' 15.34'' E, 45° 57' 15.70'' N"
009 - Passariano,Passariano - Piazza dei Dogi,"13° 00' 46.55'' E, 45° 56' 52.25'' N"
010 - Iutizzo Area Ex Scuole,Iutizzo - Via Aghe Lusint,"12° 58' 21.66'' E, 45° 56' 45.44'' N"
011 - Biauzzo Parcheggio Chiesa,Biauzzo - Via 16 Gennaio 1944,"12° 55' 55.07'' E, 45° 57' 14.23'' N"
012 - Goricizza Piazza Coop,Goricizza - Via Sedegliano,"12° 58' 21.54'' E, 45° 58' 40.78'' N"
013 - Pozzo Area Antistante Chiesa,Pozzo - Via San Lorenzo,"12° 58' 09.38'' E, 45° 59' 11.47'' N"
014 - San Martino Ingresso Paese,San Martino - Via San Pietro,"12° 59' 29.82'' E, 45° 55' 08.39'' N"
015 - Rividischia,Rividischia - Via Principale,"12° 59' 57.05'' E, 45° 54' 19.48'' N"
016 - Muscletto,Muscletto - Via Roveredo,"13° 00' 16.21'' E, 45° 54' 32.54'' N"
017 - Zompicchia - Piazza,Zompicchia - Piazza Aquileia,"13° 00' 17.96'' E, 45° 57' 54.78'' N"
018 - Lonca - Piazza,Lonca - Via del Ledra,"13° 01' 20.70'' E, 45° 56' 45.34'' N"
019 - San Pietro - Centro Paese,San Pietro - via San Pietro,"12° 58' 13.16'' E, 45° 55' 10.69'' N"
020 - Area Grovis,Codroipo - Viale Veneto - Via Grovis,"12° 58' 15.44'' E, 45° 57' 56.34'' N"
021 - Area Teatro Verdi,Codroipo - Via Pevaris,"12° 58' 58.55'' E, 45° 57' 48.21'' N"
022 - Area Via Ostermann - Via XXIV Maggio,Codroipo - Via Ostermann,"12° 59' 08.11'' E, 45° 57' 35.94'' N"
