Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI CODROIPO/RIVOLTO,Rivolto - via Lonca,"13° 01' 14.27'' E, 45° 57' 04.75'' N"
002 - SCUOLA DELL'INFANZIA DI CODROIPO/V. CIRCONVALLAZIONE SUD,Codroipo - via Invalidi del Lavoro 10,"12° 58' 57.60'' E, 45° 57' 27.83'' N"
003 - SCUOLA PRIMARIA ANNA FABRIS,Codroipo - via IV Novembre 33,"12° 58' 43.55'' E, 45° 57' 33.54'' N"
004 - SCUOLA PRIMARIA GIAN BATTISTA CANDOTTI,Codroipo - via IV  Novembre 14,"12° 58' 58.47'' E, 45° 57' 33.35'' N"
005 - SCUOLA SECONDARIA DI 1° GRADO G.BIANCHI,Codroipo - via IV Novembre 33,"12° 58' 44.75'' E, 45° 57' 31.21'' N"
007 - SCUOLA DELL'INFANZIA PARITARIA CADUTI PER LA PATRIA,Codroipo - via IV Novembre 37,"12° 58' 40.14'' E, 45° 57' 34.09'' N"
008 - SCUOLA SECONDARIA DI 1° GRADO G.BIANCHI - palestra,Codroipo - Via IV Novembre,"12° 58' 46.52'' E, 45° 57' 33.75'' N"
010 - SCUOLA DELL'INFANZIA DI CODROIPO/ZOMPICCHIA,Zompicchia - via delle Scuole 1,"13° 00' 28.81'' E, 45° 57' 53.56'' N"
012 - SCUOLA SECONDARIA DI 2° GRADO GIOVANNI MARINELLI,Codroipo - via Circonvallazione Sud 29,"12° 58' 54.87'' E, 45° 57' 23.87'' N"
013 - SCUOLA SECONDARIA DI 2° GRADO GIACOMO CECONI - IPSIA,Codroipo - via Invalidi del Lavoro 6,"12° 58' 58.28'' E, 45° 57' 25.89'' N"
014 - SCUOLA SECONDARIA DI 2° GRADO JACOPO LINUSSIO - ITC,Codroipo - via Circonvallazione Sud 29,"12° 58' 54.89'' E, 45° 57' 25.90'' N"
015 - SCUOLA DELL'INFANZIA PARITARIA RICORDO AI CADUTI,Goricizza - Via Asilo 3,"12° 58' 20.42'' E, 45° 58' 28.48'' N"
016 - SCUOLA DELL'INFANZIA DI CODROIPO/VIA POLITI,Codroipo - Via Politi 23,"12° 59' 27.56'' E, 45° 57' 17.51'' N"
017 - ISTITUTO PROFESSIONALE DI CODROIPO IPSC,Codroipo - via Circonvallazione Sud 29,"12° 58' 52.63'' E, 45° 57' 23.15'' N"
