Denominazione,Sensori,Coordinate
PCIV - Codroipo,Idrometro,"12° 59' 34.01'' E, 45° 57' 24.01'' N"
PCIV - Rivolto,"Umidità, Pressione, Temperatura, Pioggia","13° 01' 14.99'' E, 45° 57' 13.00'' N"
H4 - Codroipo,"Umidità, Pressione, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 00' 12.96'' E, 45° 57' 11.88'' N"
