Denominazione,Indirizzo,Coordinate
001 - Pacheggio di Via Sottila,Fanna - Via Sottila,"12° 45' 16.18'' E, 46° 11' 17.25'' N"
003 - Parcheggio di Via Montelieto,Fanna - Via Montelieto,"12° 45' 15.65'' E, 46° 11' 10.18'' N"
004 - Parcheggio di Via Bruni,Fanna - Via Bruni,"12° 45' 06.23'' E, 46° 11' 10.06'' N"
005 - Mieli,Fanna - Via Toffoli,"12° 44' 45.01'' E, 46° 11' 15.78'' N"
006 - Via Manarin bivio via Toffoli,Fanna - Via Manarin,"12° 44' 46.22'' E, 46° 11' 12.72'' N"
007 - Via Castellani parco ATER,Fanna - Via Castellani,"12° 44' 54.60'' E, 46° 11' 08.14'' N"
011 - Via Paiani Bivio Cecchini,Fanna - Via Paiani,"12° 45' 06.25'' E, 46° 10' 44.86'' N"
012 - Via Boscarni ,Fanna - Via Boscarini,"12° 45' 20.89'' E, 46° 10' 42.77'' N"
013 - Via Visinale Bivio San Silvestro,Fanna - Via Visinale,"12° 45' 29.58'' E, 46° 10' 57.43'' N"
014 - Via Mioni ,Fanna - Via Mioni,"12° 45' 40.10'' E, 46° 11' 04.34'' N"
015 - Parcheggio lottizzazione via Rizziol,Fanna - Via Rizziol,"12° 45' 27.53'' E, 46° 10' 54.12'' N"
016 - via Mistris,Borgo Mistris - via Mistris,"12° 45' 39.37'' E, 46° 10' 20.83'' N"
017 - via vi maggio,Fanna - via vi maggio,"12° 45' 05.79'' E, 46° 10' 57.95'' N"
