Denominazione,Sensori,Coordinate
PCIV - Latisana Tagl.2 ss14,Idrometro,"12° 59' 52.01'' E, 45° 46' 16.00'' N"
PCIV - Volta di Latisana,Idrometro,"13° 01' 39.00'' E, 45° 44' 16.01'' N"
H4 - Gorgo,"Umidità, Bagnatura fogliare, Temperatura, Pioggia, Vento vettoriale, Vento (direzione)","13° 01' 18.84'' E, 45° 44' 09.96'' N"
PCIV - Latisana Tagl. 1,"Umidità, Temperatura, Idrometro, Pioggia, Vento (direzione), Vento (intensità), Vento raffica (direzione), Vento raffica (intensità)","12° 59' 48.98'' E, 45° 46' 21.00'' N"
