Denominazione,Sensori,Coordinate
H4 - Gemona,"Tensione Batteria, Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 07' 23.16'' E, 46° 15' 43.92'' N"
PCIV - Gemona del Friuli,"Temperatura, Pioggia","13° 08' 29.00'' E, 46° 16' 45.01'' N"
