Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI SESTO AL REGHENA - RAMUSCELLO,Ramuscello - Via Silvio Pellico 2,"12° 53' 15.59'' E, 45° 52' 36.93'' N"
002 - SCUOLA PRIMARIA DANTE ALIGHIERI,Sesto al Reghena - Via Concordia 26,"12° 48' 55.08'' E, 45° 50' 41.25'' N"
003 - SCUOLA PRIMARIA DON ANTONIO CICUTO,Bagnarola - Via Santa Lucia 11,"12° 51' 33.38'' E, 45° 52' 10.91'' N"
004 - SCUOLA SECONDARIA DI 1° GRADO ENRICO FERMI,Vissignano - Via Vissignano 10,"12° 51' 44.79'' E, 45° 52' 17.28'' N"
005 - SCUOLA DELL'INFANZIA PARITARIA ITALICA SPES,Seato al Reghena - Via Giotto di Bondone 44,"12° 48' 47.28'' E, 45° 50' 57.90'' N"
006 - SCUOLA DELL'INFANZIA PARITARIA SAN LUIGI GONZAGA,Bagnarola - Piazza IV Novembre 19,"12° 51' 32.16'' E, 45° 52' 05.76'' N"
