Denominazione,Sensori,Coordinate
PCIV - Mure,"Temperatura, Idrometro, Pioggia","12° 48' 22.00'' E, 45° 50' 24.00'' N"
PCIV - Stallis,Idrometro,"12° 51' 42.01'' E, 45° 51' 02.99'' N"
