Denominazione,Indirizzo,Coordinate
001 - Monteaperta - Jama,Monteaperta - ,"13° 18' 31.16'' E, 46° 16' 17.20'' N"
002 - Cornappo - Piazza,Cornappo - ,"13° 20' 17.47'' E, 46° 16' 20.34'' N"
003 - Montemaggiore - Piazza,Montemaggiore - ,"13° 22' 12.37'' E, 46° 16' 01.68'' N"
004 - Platischis,Fronte ex latteria - Platischis,"13° 22' 59.88'' E, 46° 14' 30.39'' N"
005 - Prossenicco - Petok,Prossenicco - ,"13° 24' 04.46'' E, 46° 13' 32.08'' N"
006 - Debellis - PIP,Debellis - ,"13° 19' 23.67'' E, 46° 15' 32.72'' N"
007 - Taipana Borgo Mulino,Borgo Mulino (cimitero) - Via Capoluogo 131,"13° 20' 36.03'' E, 46° 14' 57.74'' N"
008 - Campo di Bonis,Ingresso Agriturismo,"13° 22' 03.65'' E, 46° 15' 20.11'' N"
009 - Taipana Borgo di Sopra,Borgo di Sopra,"13° 20' 43.74'' E, 46° 15' 10.51'' N"
010 - Taipana Borgo di Sotto,Borgo di Sotto,"13° 20' 12.12'' E, 46° 14' 45.42'' N"
011 - Taipana Borgo di Mezzo,Bar alla Posta,"13° 20' 24.66'' E, 46° 14' 53.03'' N"
012 - Monteaperta Borgo di Sotto,Borgo di Sotto,"13° 19' 05.03'' E, 46° 16' 20.38'' N"
013 - Ponte Sambo,Ponte Sambo,"13° 19' 45.14'' E, 46° 16' 01.70'' N"
014 - Monteaperta Centro Sociale,Alloggi Popolari,"13° 18' 43.87'' E, 46° 16' 23.06'' N"
015 - Prossenicco parcheggio località Tosinc,Prossenicco,"13° 24' 30.70'' E, 46° 13' 36.14'' N"
