Denominazione,Sensori,Coordinate
H4 - Terzo di Aquileia,"Umidità, Bagnatura fogliare, Temperatura, Pioggia","13° 18' 40.50'' E, 45° 46' 11.64'' N"
PCIV - Mortesina roggia,"Portata, Idrometro","13° 21' 55.01'' E, 45° 48' 18.00'' N"
