Denominazione,Sensori,Coordinate
PCIV - Villa Santina T.Degano,"Idrometro, Pioggia","12° 54' 24.01'' E, 46° 24' 41.00'' N"
H4 - Enemonzo,"Umidità, Pressione, Altezza della neve, Temperatura, Pioggia, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","12° 52' 00.12'' E, 46° 24' 29.88'' N"
