Denominazione,Sensori,Coordinate
PCIV - Colle,Idrometro,"12° 48' 51.01'' E, 46° 09' 49.00'' N"
PCIV - Arba,"Umidità, Pressione, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","12° 48' 29.99'' E, 46° 08' 33.00'' N"
