Denominazione,Sensori,Coordinate
PCIV - Pavia di Udine,"Umidità, Temperatura, Pioggia","13° 17' 47.00'' E, 45° 59' 30.98'' N"
H4 - Lauzacco,"Umidità, Bagnatura fogliare, Temperatura, Pioggia, Vento vettoriale, Vento (direzione)","13° 16' 21.00'' E, 45° 58' 55.20'' N"
