Denominazione,Indirizzo,Coordinate
001 - Area festeggiamenti- RISANO,Risano  - Via della Stazione,"13° 15' 28.02'' E, 45° 58' 28.60'' N"
004 - ex-scuola elementare - PAVIA,Pavia di Udine - via Selvuzzis 5,"13° 18' 09.24'' E, 45° 59' 38.81'' N"
005 - scuola media LAUZACCO - Parcheggio antistante,Lauzacco - Via Pietro Zorutti,"13° 16' 55.56'' E, 45° 58' 57.42'' N"
006 - parcheggio elementare LUMIGNACCO,Lumignacco - via della Libertà,"13° 14' 38.25'' E, 45° 59' 50.16'' N"
016 - Parco del mercato - PERCOTO,Percoto - via Crimea,"13° 19' 41.73'' E, 45° 58' 31.28'' N"
017 - area verde - CHIASOTTIS,Chiasottis - via Principale,"13° 15' 09.50'' E, 45° 57' 38.13'' N"
018 - Piazza Julia - LAUZACCO, Lauzacco - Piazza Julia ,"13° 16' 53.15'' E, 45° 58' 39.73'' N"
019 - Lottizzazione Beretta - LAUZACCO,Lauzacco - Via Matteotti,"13° 16' 56.92'' E, 45° 58' 44.23'' N"
020 - piazza della Vittoria-PERCOTO,Percoto - piazza della Vittoria,"13° 19' 20.55'' E, 45° 58' 27.66'' N"
021 - Parco via don Sturzo - PERCOTO,Percoto - via don sturzo,"13° 19' 25.19'' E, 45° 58' 38.78'' N"
022 - via f.lli Cervi - PERCOTO,Percoto - via f.lli Cervi,"13° 19' 18.19'' E, 45° 58' 42.31'' N"
023 - via San Martino - PERCOTO,Percoto - via San Martino,"13° 19' 07.45'' E, 45° 58' 23.07'' N"
024 - SELVUZZIS,Selvuzzis - via Centrale,"13° 18' 13.45'' E, 45° 58' 59.23'' N"
026 - via Udine - PAVIA,Pavia di Udine - via Udine,"13° 18' 06.88'' E, 45° 59' 54.16'' N"
027 - campo sportivo PAVIA,Pavia di Udine - via Trieste,"13° 18' 26.19'' E, 45° 59' 34.84'' N"
028 - campo sportivo RISANO,Risano - via Lavariano,"13° 14' 52.50'' E, 45° 58' 15.47'' N"
029 - area festeggiamenti LUMIGNACCO,Lumignacco - via Bellini,"13° 14' 45.99'' E, 46° 00' 03.85'' N"
030 - piazza PERSEREANO,Persereano - piazza S. Andrea,"13° 17' 43.35'' E, 45° 57' 54.35'' N"
031 - Parcheggio Invidia - Z.I.U.,Z.I.U. - via Volta,"13° 16' 09.40'' E, 45° 59' 37.07'' N"
