Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA ARCOBALENO - LAUZACCO,Lauzacco - via Nievo 31,"13° 16' 45.23'' E, 45° 58' 50.72'' N"
002 - SCUOLA PRIMARIA PIAVE - LUMIGNACCO,Lumignacco - via Bellini 13,"13° 14' 41.53'' E, 45° 59' 50.12'' N"
003 - SCUOLA PRIMARIA PIETRO ZORUTTI,Percoto - via Pre Zaneto 40,"13° 19' 09.45'' E, 45° 58' 21.16'' N"
004 - SCUOLA SECONDARIA DI 1° GRADO CATERINA PERCOTO - LAUZACCO,Lauzacco - Piazza Umberto Zanfagnini1,"13° 16' 55.91'' E, 45° 58' 59.80'' N"
005 - SCUOLA DELL'INFANZIA PARITARIA - PAVIA DI UDINE,Pavia di Udine - Via Roma 10,"13° 18' 12.74'' E, 45° 59' 43.87'' N"
006 - SCUOLA DELL'INFANZIA PARITARIA - PERCOTO,Percoto - Piazza della Vittoria 2,"13° 19' 19.25'' E, 45° 58' 31.61'' N"
007 - SCUOLA DELL'INFANZIA PARITARIA - LUMIGNACCO,Lumignacco - Via Pascoli 13,"13° 14' 42.60'' E, 45° 59' 42.11'' N"
008 - ASILO NIDO,Pavia di Udine - via Lauzacco,"13° 17' 49.88'' E, 45° 59' 33.20'' N"
