,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        351
      ","
        62
      ","
        8
      ","
        421
      "
"
        Numero di famiglie
      ","
        169
      ","
        29
      ","
        3
      ","
        201
      "
"
        Numero di abitazioni
      ","
        417
      ","
        42
      ","
        3
      ","
        462
      "
"
        Numero di edifici
      ","
        362
      ","
        37
      ","
        2
      ","
        401
      "
"
        Numero di edifici residenziali
      ","
        287
      ","
        31
      ","
        2
      ","
        320
      "
