,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        2872
      ","
        134
      ","
        170
      ","
        3176
      "
"
        Numero di famiglie
      ","
        1309
      ","
        65
      ","
        64
      ","
        1438
      "
"
        Numero di abitazioni
      ","
        2216
      ","
        87
      ","
        147
      ","
        2450
      "
"
        Numero di edifici
      ","
        1872
      ","
        86
      ","
        166
      ","
        2124
      "
"
        Numero di edifici residenziali
      ","
        1724
      ","
        79
      ","
        144
      ","
        1947
      "
