Denominazione,Indirizzo,Coordinate
004 - corpo pompieri volontari,capoluogo - Via Mons di Bernardo,"13° 11' 57.88'' E, 46° 24' 31.84'' N"
005 - sede gruppo Ana ,capoluogo - ,"13° 11' 54.45'' E, 46° 24' 23.42'' N"
006 - sede soccorso alpino e cai,capoluogo - ,"13° 11' 51.33'' E, 46° 24' 46.01'' N"
008 - Stazione di derivazione del gas per Resiutta e Resia,ex stazione ferroviaria - via stazione ,"13° 10' 56.21'' E, 46° 23' 52.75'' N"
009 - Centralina Snam gas,,"13° 10' 53.12'' E, 46° 23' 49.55'' N"
010 - Centralina Snam gas,,"13° 12' 02.46'' E, 46° 24' 26.61'' N"
011 - Centralina Snam rete gas,,"13° 12' 11.85'' E, 46° 24' 54.82'' N"
012 - Centralina Snam rete gas, - ,"13° 11' 56.32'' E, 46° 25' 03.75'' N"
013 - Centralina Snam gas,,"13° 11' 57.49'' E, 46° 25' 52.61'' N"
014 - Centrale Snam gas,,"13° 13' 46.29'' E, 46° 29' 57.84'' N"
015 - vasca acquedotto saps,,"13° 11' 56.72'' E, 46° 29' 33.52'' N"
016 - Vasca acquedotto Bevorchians,,"13° 11' 21.36'' E, 46° 29' 09.76'' N"
017 - Vasca acquedotto Bevorchians 2,,"13° 11' 30.53'' E, 46° 29' 11.02'' N"
018 - Vasca principale Acquedotto Dordolla,,"13° 11' 47.38'' E, 46° 28' 08.22'' N"
019 - Vasca acquedotto Zais,,"13° 11' 23.01'' E, 46° 27' 43.87'' N"
020 - Vasca acquedotto Grauzaria  Moggio Chiaranda e Pradis,,"13° 10' 40.92'' E, 46° 27' 10.35'' N"
021 - Vasca acquedotto Pradis Basso,,"13° 11' 55.79'' E, 46° 26' 06.60'' N"
022 - Vasca acquedotto Rio Neit Moggio,,"13° 11' 38.73'' E, 46° 25' 04.84'' N"
023 - Vasca acquedotto Moggio Basso,,"13° 11' 32.10'' E, 46° 24' 36.82'' N"
024 - Vasca acquedotto Moggio Alto,,"13° 11' 09.72'' E, 46° 24' 43.08'' N"
025 - Vasca acquedotto Pin di Stelj,,"13° 10' 33.87'' E, 46° 24' 32.17'' N"
026 - Vasca acquedotto Campiolo,,"13° 09' 46.88'' E, 46° 23' 59.88'' N"
027 - Pozzo acquedotto Campiolo,,"13° 09' 56.87'' E, 46° 23' 53.74'' N"
028 - Vasca acquedotto Ovedasso,,"13° 13' 40.40'' E, 46° 24' 07.44'' N"
029 - Vasche e prese acquedotti Moggesse di Qua e di La,,"13° 09' 08.67'' E, 46° 25' 19.83'' N"
030 - Presa e vasca acquedotto di Stavoli,,"13° 07' 43.96'' E, 46° 25' 28.51'' N"
031 - presa e vasca acquedotto di Monticello,,"13° 09' 43.14'' E, 46° 26' 28.35'' N"
032 - centrale Sanam Gas,,"13° 12' 10.98'' E, 46° 27' 01.78'' N"
033 - Impianto Tim,Cuel di Cjampiut - ,"13° 12' 00.59'' E, 46° 24' 10.52'' N"
034 - Impianto di telecomunicazione Tim,,"13° 11' 03.15'' E, 46° 29' 09.36'' N"
035 - Traliccio rai e telecomunicazioni,Moggio Alto - colle santo spirito,"13° 11' 23.86'' E, 46° 24' 18.94'' N"
