Denominazione,Indirizzo,Coordinate
001 - Stazione autocorriere,Moggio Udinese - Via Roma,"13° 11' 46.60'' E, 46° 24' 35.77'' N"
002 - Piazzale Nais,Moggio Udinese - Piazzale Nais,"13° 11' 51.97'' E, 46° 24' 25.85'' N"
003 - Parco giochi,Moggio Udinese - Via  di bernardo,"13° 11' 55.33'' E, 46° 24' 40.27'' N"
004 - Parco del turchetto,Moggio Udinese - Via Ermolli,"13° 11' 27.24'' E, 46° 24' 09.06'' N"
005 - Parcheggio Abbazia,Moggio Alto - ,"13° 11' 15.48'' E, 46° 24' 17.75'' N"
006 - Campiolo,Campiolo - ,"13° 10' 07.96'' E, 46° 23' 59.44'' N"
007 - Ovedasso,Ovedasso,"13° 13' 43.12'' E, 46° 23' 57.35'' N"
008 - Strada Pradis,Pradis,"13° 12' 23.05'' E, 46° 25' 38.74'' N"
009 - Piazza Dordolla,Dordolla - ,"13° 11' 33.20'' E, 46° 28' 02.40'' N"
010 - Grauzaria,Grauzaria - ,"13° 11' 09.04'' E, 46° 27' 01.92'' N"
011 - Monticello,Monticello - ,"13° 10' 35.38'' E, 46° 26' 25.46'' N"
012 - Moggessa di la,Moggessa di la - ,"13° 09' 07.88'' E, 46° 25' 19.22'' N"
013 - Moggessa di Qua,Moggessa di Qua - ,"13° 09' 08.08'' E, 46° 25' 02.37'' N"
014 - Stavoli,Stavoli - ,"13° 08' 15.63'' E, 46° 24' 50.00'' N"
015 - località Zais,Zais - ,"13° 11' 25.55'' E, 46° 27' 44.45'' N"
016 - Bevorchians,Bevorchians - ,"13° 11' 33.47'' E, 46° 29' 11.48'' N"
017 - Travasans,Borgo Travasans,"13° 11' 12.88'' E, 46° 24' 36.32'' N"
018 - Moggio Alto asilo,Moggio Udinese,"13° 11' 31.66'' E, 46° 24' 28.35'' N"
019 - Plan di Riu,Plan di Riu,"13° 11' 06.25'' E, 46° 24' 24.49'' N"
