,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        466
      ","
        47
      ","
        45
      ","
        558
      "
"
        Numero di famiglie
      ","
        224
      ","
        21
      ","
        21
      ","
        266
      "
"
        Numero di abitazioni
      ","
        319
      ","
        36
      ","
        40
      ","
        395
      "
"
        Numero di edifici
      ","
        250
      ","
        33
      ","
        44
      ","
        327
      "
"
        Numero di edifici residenziali
      ","
        224
      ","
        29
      ","
        40
      ","
        293
      "
