Denominazione,Indirizzo,Coordinate
001 - Piazzale stazione ferroviaria,Pontebba - PIAZZALE CESARE BATTISTI,"13° 18' 41.54'' E, 46° 30' 29.50'' N"
002 - Piazza Mercato,PONTEBBA - PIAZZA MERCATO,"13° 18' 23.06'' E, 46° 30' 22.84'' N"
003 - Scuola Materna,PONTEBBA - VIA  DELLA PACE,"13° 18' 09.72'' E, 46° 30' 22.03'' N"
004 - Bivio via Marconi via Roma,PONTEBBA - VIA MARCONI,"13° 18' 15.42'' E, 46° 30' 09.37'' N"
005 - Piani,PONTEBBA - LOCALITA' PIANI,"13° 17' 49.48'' E, 46° 29' 42.88'' N"
006 - Pietratagliata,PONTE PIETRATAGLIATA,"13° 17' 53.62'' E, 46° 28' 38.69'' N"
007 - San Leopoldo,a est fabbricati autoporto,"13° 20' 34.98'' E, 46° 30' 33.58'' N"
008 - Studena Bassa,CHIOSCO AMICI DI STUDENA BASSA - FRAZIONE STUDENA BASSA,"13° 16' 22.82'' E, 46° 31' 14.06'' N"
009 - Studena Alta,PARCHEGGIO BORGO ALTO - FRAZIONE STUDENA ALTA,"13° 16' 33.30'' E, 46° 30' 28.89'' N"
010 - Aupa,SCUOLA DI SCI DI FONDO - Strada per Sella Cereschiattis,"13° 15' 35.69'' E, 46° 30' 23.54'' N"
011 - S.Leopoldo N.,S. Leopoldo-borgo Nord,"13° 20' 40.57'' E, 46° 30' 41.64'' N"
012 - Parco giochi,Pontebba centro - Via Cavallotti,"13° 18' 17.51'' E, 46° 30' 15.70'' N"
013 - Pietratagliata,piazzetta della chiesa,"13° 17' 56.84'' E, 46° 28' 44.93'' N"
014 - Pietratagliata Nord,vicino case ex ferrovia,"13° 17' 47.98'' E, 46° 28' 46.07'' N"
015 - Passo Pramollo,Parcheggio di fronte Locanda Wulfenia,"13° 16' 41.40'' E, 46° 33' 27.87'' N"
016 - loc. Costa,frazione Costa,"13° 17' 14.81'' E, 46° 30' 57.77'' N"
017 - ex caserma Zambon,Pontebba - Via Verdi,"13° 18' 18.46'' E, 46° 30' 29.91'' N"
