Denominazione,Indirizzo,Coordinate
001 - Piazzale San Luca,TALMASSON - PIAZZALE S. LUCA ,"12° 33' 50.72'' E, 45° 58' 42.84'' N"
002 - ceolini via tasso,CEOLINI  - VIA TASSO ,"12° 36' 11.45'' E, 45° 59' 19.36'' N"
003 - Ranzano Via Verdi,RANZANO - VIA VERDI / VIA VALSTORT,"12° 32' 02.56'' E, 45° 59' 51.54'' N"
004 - Nave Via Lirutti,NAVE - VIA LIRUTTI,"12° 30' 08.47'' E, 45° 58' 40.39'' N"
005 - Camolli Via Casut ,CASUT - VIA CASUT,"12° 32' 17.81'' E, 45° 56' 00.22'' N"
006 - Vigonovo Via Baracca - campo sportivo,VIGONOVO - VIA BARACCA - CAMPO SPORTIVO,"12° 33' 19.26'' E, 45° 59' 36.88'' N"
007 - Ronche via Percoto - Via Custoza ,RONCHE - VIA PERCOTO - VIA CUSTOZA,"12° 35' 23.13'' E, 45° 58' 25.79'' N"
008 - Fontanafredda Via Pastrengo - Via Don Piero della Toffola,FONTANAFREDDA - VIA PASTRENGO - VIA DON PIERO DELLA TOFFOLA,"12° 34' 23.24'' E, 45° 58' 23.16'' N"
009 - Fontanafredda  Via IV Novembre - Via dei Mille ,FONTANAFREDDA - VIA IV NOVEMBRE - VIA DEI MILLE,"12° 34' 20.50'' E, 45° 58' 13.19'' N"
011 - Nave  Via Casera Chions,NAVE - VIA CASERA CHIONS,"12° 30' 37.33'' E, 45° 58' 37.10'' N"
012 - Nave Via Valstort,NAVE - VIA VALSTORT,"12° 29' 55.41'' E, 45° 59' 31.09'' N"
013 - Via Bodegan ,NAVE - VIA BODEGAN,"12° 30' 39.29'' E, 45° 59' 06.60'' N"
014 - La Croce - Via Brigata Osoppo,LA CROCE - VIA LA CROCE,"12° 31' 32.47'' E, 45° 58' 40.66'' N"
015 - Ranzano - Parcheggio Via Crosetta,RANZANO - VIA CROSETTA - PARCHEGGIO,"12° 32' 21.18'' E, 45° 59' 55.09'' N"
016 - Via Veronese,ROMANO - VIA VERONESE ,"12° 32' 40.13'' E, 45° 59' 35.67'' N"
017 - Via G. Oberdan,VIGONOVO - VIA G. OBERDAN,"12° 32' 25.12'' E, 45° 59' 28.42'' N"
018 - Via Puccini,VIGONOVO - VIA PUCCINI,"12° 33' 17.48'' E, 45° 59' 07.30'' N"
019 - PEEP,VILLADOLT - VIALE DEI FIORI - PEEP,"12° 34' 13.50'' E, 45° 58' 43.51'' N"
020 - Via Stellini - Via Del Macello,FONTANAFREDDA - VIA STELLINI - VIA DEL MACELLO,"12° 33' 41.42'' E, 45° 58' 29.63'' N"
021 - Parcheggio Via Del Cesiol,FONTANAFREDDA - VIA DEL CESIOL - PARCHEGGIO,"12° 34' 46.80'' E, 45° 58' 21.14'' N"
022 - Via P. Zorutti,FORCATE - VIA PIETRO ZORUTTI,"12° 35' 11.85'' E, 45° 59' 10.81'' N"
023 - Via Pieve,PIEVE - VIA PIEVE,"12° 35' 11.74'' E, 45° 57' 28.44'' N"
024 - Via Palmanova,CAMOLLI - VIA PALMANOVA,"12° 32' 11.73'' E, 45° 57' 09.89'' N"
025 - Via Brugnera,FONTANAFREDDA - VIA BRUGNERA,"12° 33' 46.63'' E, 45° 57' 25.99'' N"
029 - Via Anello del Sole,VILLADOLT - VIA ANELLO DEL SOLE,"12° 34' 11.87'' E, 45° 58' 54.96'' N"
030 - Zona sportiva,ZONA SPORTIVA - VIALE DELLO SPORT ,"12° 34' 05.21'' E, 45° 58' 51.49'' N"
031 - Fontanafredda ,FONTANAFREDDA - VIA LEONARDO DA VINCI,"12° 34' 22.14'' E, 45° 58' 32.01'' N"
032 - Vigonovo 1,VIGONOVO - VIA don DEL FIOL,"12° 32' 52.79'' E, 45° 59' 28.39'' N"
033 - bivio via Leopardi - strada Col di riva,Vigonovo - via Leopardi,"12° 33' 16.02'' E, 45° 59' 17.46'' N"
034 - Laterale Via Grigoletti - ambulatorio,Fontanafredda - Viale Grigoletti,"12° 33' 56.24'' E, 45° 58' 24.51'' N"
035 - Via Del Parco,Fontanafredda - Via del Parco,"12° 34' 05.48'' E, 45° 58' 30.47'' N"
036 - Via Carducci,Villadolt - Via Carducci,"12° 34' 42.34'' E, 45° 58' 43.29'' N"
037 - Via Zorutti - Gortani,Forcate - Via Zorutti - Gortani,"12° 34' 15.64'' E, 45° 59' 31.77'' N"
038 - Via Bellini ,Forcate - Via Bellini,"12° 33' 46.58'' E, 46° 00' 28.89'' N"
039 - Via del Var,Vigonovo - Via Del Var,"12° 33' 08.56'' E, 45° 59' 25.85'' N"
040 - Cesare Battisti,Ceolini - Via Cesare Battisti,"12° 36' 00.41'' E, 45° 59' 26.10'' N"
