Denominazione,Indirizzo,Coordinate
001 - COMEGLIANS,COMEGLIANS - Piazza Cav.del Lavoro Umberto De Antoni,"12° 52' 03.54'' E, 46° 30' 48.04'' N"
003 - TUALIS,TUALIS - Via Tualis,"12° 52' 52.34'' E, 46° 31' 54.36'' N"
004 - POVOLARO - MARANZANIS,POVOLARO - PARCHEGGIO CHIESA,"12° 52' 30.28'' E, 46° 30' 58.69'' N"
005 - CALGARETTO ,CALGARETTO - CALGARETTO,"12° 51' 50.81'' E, 46° 31' 35.22'' N"
006 - RUNCHIA,STRADA PER ABITATO DI RUNCHIA - Via Calgaretto,"12° 52' 06.75'' E, 46° 31' 12.29'' N"
007 - MIELI,Piazza di Mieli - Via Tualis,"12° 52' 29.79'' E, 46° 31' 34.94'' N"
008 - NOIARETTO,Piazza di Noiaretto - Via Noiaretto,"12° 52' 35.97'' E, 46° 32' 00.09'' N"
009 - Loc. BRAIDA,Incrocio per Clavais - Loc:BRAIDA,"12° 52' 18.53'' E, 46° 30' 15.23'' N"
010 - COMEGLIANS-BORGO DELLA MUFFA,AREA VERDE ADIACENTE AL TORRENTE DEGANO - VIA STATALE,"12° 51' 54.15'' E, 46° 30' 55.89'' N"
011 - LOC.MARGO',MARGO',"12° 52' 27.60'' E, 46° 31' 14.41'' N"
012 - Loc.Villa,VILLA,"12° 52' 27.66'' E, 46° 31' 27.93'' N"
