Denominazione,Sensori,Coordinate
PCIV - Faedis T.Grivo',Idrometro,"13° 20' 43.01'' E, 46° 08' 53.02'' N"
H2 - Faedis,"Tensione Batteria, Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, , Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 21' 11.88'' E, 46° 08' 08.16'' N"
