,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        1659
      ","
        
      ","
        
      ","
        1659
      "
"
        Numero di famiglie
      ","
        706
      ","
        
      ","
        
      ","
        706
      "
"
        Numero di abitazioni
      ","
        742
      ","
        
      ","
        
      ","
        742
      "
"
        Numero di edifici
      ","
        562
      ","
        
      ","
        
      ","
        562
      "
"
        Numero di edifici residenziali
      ","
        467
      ","
        
      ","
        
      ","
        467
      "
