Denominazione,Indirizzo,Coordinate
004 - Parcheggio Pordenone Fiere S.p.A.,Sud - Viale Treviso,"12° 39' 33.46'' E, 45° 56' 59.76'' N"
005 - Area verde Via Dogana,Sud - Via Dogana,"12° 38' 52.12'' E, 45° 56' 25.05'' N"
007 - Parco Piazza del Popolo,Centro - Piazza del Popolo,"12° 39' 23.31'' E, 45° 57' 45.41'' N"
009 - Area verde Piazzale dei Mutilati,Torre - Piazzale dei Mutilati,"12° 39' 56.51'' E, 45° 57' 57.08'' N"
010 - Area verde Via Beata Domicilla,Torre - Via Beata Domicilla,"12° 40' 06.54'' E, 45° 57' 38.32'' N"
"011 - Parcheggio supermercato ""Interspar""",Torre - Viale Aquileia,"12° 40' 25.94'' E, 45° 57' 46.76'' N"
012 - Pattinidromo di Via Interna,Centro - Via Interna,"12° 39' 38.74'' E, 45° 58' 12.88'' N"
013 - Parcheggio Via Colvera,Rorai-Cappuccini - Via Colvera,"12° 39' 21.03'' E, 45° 58' 20.97'' N"
014 - 014 Area verde Via Cividale,Centro - Via Cividale,"12° 38' 57.80'' E, 45° 57' 45.90'' N"
015 - Parcheggio Via Girolami,Torre - Via L. Girolami,"12° 39' 39.91'' E, 45° 58' 20.76'' N"
016 - Parcheggio Via dell'Aviere,Rorai-Cappuccini - Via dell'Aviere,"12° 39' 05.58'' E, 45° 58' 03.74'' N"
017 - Area verde Via Brigata Lupi di Toscana,Rorai-Cappuccini - Via Brigata Lupi di Toscana,"12° 38' 48.53'' E, 45° 58' 17.83'' N"
018 - Parcheggio Autostazione A.T.A.P. S.p.A.,Centro - Via Oberdan,"12° 39' 09.62'' E, 45° 57' 30.64'' N"
"019 - 019 Parcheggio stadio ""O. Bottecchia""",Rorai-Cappuccini - Via dello stadio,"12° 38' 54.14'' E, 45° 57' 25.33'' N"
020 - Parcheggio polisportivo di Villanova,Villanova - Via Pirandello,"12° 40' 13.48'' E, 45° 56' 35.02'' N"
021 - Parcheggio Via Svevo,Sud - Via I. Svevo,"12° 39' 46.61'' E, 45° 56' 39.79'' N"
022 - Parcheggio P2 Pordenone Fiere S.p.A.,Sud - Via Buozzi,"12° 39' 19.51'' E, 45° 56' 44.21'' N"
023 - Area verde Via Deledda,Sud - Via Deledda,"12° 39' 57.42'' E, 45° 56' 29.60'' N"
024 - Parcheggio Via Livenza,Sud - Via Livenza,"12° 40' 22.89'' E, 45° 56' 58.92'' N"
"026 - Parcheggio supermercato ""MEGA""",Sud - Via Volt dei Querini,"12° 40' 25.97'' E, 45° 56' 50.66'' N"
027 - Parcheggio Via Montini,Sud - Via G. Montini,"12° 40' 05.15'' E, 45° 57' 03.29'' N"
028 - Parcheggio Via Tiepolo,Borgomeduna - Via G. Tiepolo,"12° 40' 36.18'' E, 45° 57' 01.05'' N"
029 - Parcheggio Via Prasecco,Sud - Via Prasecco,"12° 40' 45.35'' E, 45° 57' 05.09'' N"
031 - Parcheggio bocciodromo di Torre,Torre - Via Musile,"12° 41' 09.58'' E, 45° 57' 51.13'' N"
032 - Area verde Via Monte Grappa,Torre - Via Monte Grappa,"12° 40' 56.62'' E, 45° 58' 10.85'' N"
035 - Parcheggio polisportivo di Torre,Torre - Via Peruzza,"12° 40' 16.54'' E, 45° 58' 28.70'' N"
036 - Area verde Via Enrico Fermi,Torre - Via Enrico Fermi,"12° 40' 08.17'' E, 45° 58' 17.42'' N"
038 - Area verde Via Cimoliana,Centro - Via Cimoliana,"12° 39' 26.01'' E, 45° 58' 11.46'' N"
"039 - Parcheggio ""Auditorium Concordia""",Torre - Via Interna,"12° 39' 36.42'' E, 45° 58' 00.18'' N"
041 - Area verde Via Auronzo,Rorai-Cappuccini - Via del Troi,"12° 38' 19.35'' E, 45° 58' 01.35'' N"
042 - Area verde Via Locatelli,Rorai-Cappuccini - Via G. Locatelli,"12° 38' 26.76'' E, 45° 58' 13.58'' N"
043 - Parcheggio Via Pitter,Rorai-Cappuccini - Via A. Pitter,"12° 37' 48.38'' E, 45° 57' 54.30'' N"
044 - Area verde Via Casarsa,Rorai-Cappuccini - Via Casarsa,"12° 38' 27.17'' E, 45° 57' 51.42'' N"
045 - Allargamento carreggiata di Via Misurina,Rorai-Cappuccini - Via Misurina,"12° 38' 11.33'' E, 45° 58' 19.38'' N"
046 - Parcheggio Via Bassano,Rorai-Cappuccini - Via Bassano,"12° 38' 15.05'' E, 45° 58' 10.78'' N"
048 - Area verde privata Via Tiro a Segno,Rorai-Cappuccini - Via Tiro a Segno,"12° 38' 34.78'' E, 45° 58' 43.24'' N"
049 - Area verde Via Cappuccini,Rorai-Cappuccini - Via Cappuccini,"12° 39' 05.78'' E, 45° 57' 14.88'' N"
051 - Parcheggio Via Latisana,Rorai-Cappuccini - Via Latisana,"12° 38' 38.82'' E, 45° 57' 29.74'' N"
052 - Parcheggio Via San Vito,Rorai Grande - Via San Vito,"12° 38' 49.31'' E, 45° 57' 32.63'' N"
053 - Parcheggio Via Tessitura,Rorai Grande - Via Tessitura,"12° 38' 30.99'' E, 45° 57' 33.34'' N"
054 - Area Verde Piazzale Ellero dei Mille,Centro - Piazzale Ellero dei Mille,"12° 39' 38.08'' E, 45° 57' 33.83'' N"
055 - Area verde Piazzale IV Novembre,Centro - Piazzale IV Novembre,"12° 39' 27.12'' E, 45° 57' 14.98'' N"
"058 - Parcheggio palestra ""F. Gallini""",Rorai-Cappuccini - Via Ungaresca,"12° 38' 38.26'' E, 45° 58' 17.30'' N"
059 - Area verde Viale Grigoletti,Rorai-Cappuccini - Viale M. Grigoletti,"12° 38' 38.02'' E, 45° 57' 59.10'' N"
060 - Parcheggio Via Chiesa di Vallenoncello,Sud - Via Chiesa di Vallenoncello,"12° 38' 34.88'' E, 45° 55' 58.24'' N"
061 - Parcheggio palestra di Vallenoncello,Sud - Via Valle,"12° 38' 24.05'' E, 45° 55' 41.89'' N"
062 - Parcheggio frazione Villanova,Sud - Frazione Villanova,"12° 40' 28.83'' E, 45° 55' 58.58'' N"
063 - Area verde Viale Martelli,Centro - Viale F. Martelli,"12° 39' 50.98'' E, 45° 57' 23.06'' N"
064 - Parcheggio esterno Polo Tecnologico di Pordenone,Rorai-Cappuccini - Viale della Comina,"12° 38' 03.80'' E, 45° 59' 33.13'' N"
065 - Piazza Risorgimento,Centro - Piazza Risorgimento,"12° 39' 49.09'' E, 45° 57' 33.81'' N"
066 - 066 Area verde Via Maroncelli,Torre - Via Pietro Maroncelli,"12° 40' 26.04'' E, 45° 58' 00.20'' N"
"067 - 067 Area verde Via Prasecco, in prossimità ATAP",Torre - Via Prasecco,"12° 41' 21.72'' E, 45° 57' 11.87'' N"
"068 - 068 Parcheggio Electrolux, Via Segaluzza",Sud - Via Segaluzza 30,"12° 39' 04.27'' E, 45° 55' 47.68'' N"
069 - 069 Interporto - Centro Ingrosso,Sud - Via Interporto Centro Ingrosso,"12° 40' 29.41'' E, 45° 56' 32.27'' N"
