Denominazione,Indirizzo,Coordinate
001 - Centro Sportivo di Sevegliano,Sevegliano - Via Vittorio Veneto 38,"13° 17' 38.36'' E, 45° 53' 11.46'' N"
002 - Centro Sportivo e Magazzino Comunale di Privano,Privano - Via Daniello Antonini n. 5/A,"13° 19' 29.13'' E, 45° 52' 51.87'' N"
003 - Bocciofila,Campolonghetto - Via Monfalcone n. 1,"13° 17' 24.58'' E, 45° 51' 56.75'' N"
004 - Parcheggio Via Udine ang. Via Vaat,Bagnaria Arsa - Via Udine ang. Via Vaat,"13° 17' 02.95'' E, 45° 53' 01.82'' N"
005 - Parcheggio Polifunzionale,Castions Delle Mura - Via Filippo Corridoni (il polifunzionale è il n. 3),"13° 18' 06.30'' E, 45° 50' 32.63'' N"
006 - Parcheggio Via Viuzze,Sevegliano - Via Viuzze,"13° 18' 21.80'' E, 45° 53' 17.37'' N"
007 - Area verde Via Gaspardis,Sevegliano - Via Gaspardis,"13° 18' 23.60'' E, 45° 53' 03.29'' N"
008 - Parcheggio Via Verdi,Sevegliano - Via Verdi,"13° 18' 21.98'' E, 45° 53' 12.74'' N"
009 - Parcheggio Via Pertini,Bagnaria Arsa - Via Pertini,"13° 17' 10.38'' E, 45° 52' 54.01'' N"
010 - Incrocio Via Carletti - Via della Fornace,Campolonghetto - Ingrocio Via Carletti - Via della Fornace,"13° 17' 12.71'' E, 45° 51' 54.20'' N"
011 - Parcheggi Via dei Banduzzi,Castions delle Mura - Via dei Banduzzi ,"13° 18' 06.78'' E, 45° 50' 13.35'' N"
012 - Area Festeggiamenti Via Tolmezzo,Castions della Mura - Via Tolmezzo,"13° 17' 50.03'' E, 45° 50' 45.15'' N"
013 - Parcheggio Via Palmanova (Lottizzazione La perla),Bagnaria Arsa - Via Palmanova,"13° 17' 27.82'' E, 45° 53' 07.74'' N"
