,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        3028
      ","
        38
      ","
        511
      ","
        3577
      "
"
        Numero di famiglie
      ","
        1260
      ","
        14
      ","
        218
      ","
        1492
      "
"
        Numero di abitazioni
      ","
        1355
      ","
        17
      ","
        242
      ","
        1614
      "
"
        Numero di edifici
      ","
        912
      ","
        7
      ","
        172
      ","
        1091
      "
"
        Numero di edifici residenziali
      ","
        835
      ","
        7
      ","
        160
      ","
        1002
      "
